page,elrs,lor,line_of_route_description,n_lines,duplicate_rows,abbreviations,problem
154,"LEC2, LEC3",NW1001,Armitage Jn (lncl.) to Preston Fylde Jn,12,12,"ASN, DP, DS1, DSF, DSS, DSta, LZ, SGL, UP, USF, USS, USta",multi-ELR duplication - needs diagram review
156,"LEC3, LEC4, LEC6",NW1001,Armitage Jn (lncl.) to Preston Fylde Jn.,9,18,"DF, DSF, DSS, NBEC, UF, UNB, US, USF, USS",multi-ELR duplication - needs diagram review
157,"LEC4, LEC6",NW1001,Armitage Jn (lncl.) to Preston Fylde Jn,8,8,"DF, DNB, DS, MU, NBEC, UF, UNB, US",multi-ELR duplication - needs diagram review
159,"LEC4, LEC5",NW1001,Armitage Jn (lncl.) to Preston Fylde Jn,15,15,"AID, CSYTSdg, DED AID, DF, DS, DSGL, P1, P2, P3, P3&4, P4, U&DL, U&DPL, UF, US",multi-ELR duplication - needs diagram review
164,"CGJ1, CGJ2",NW1001,Armitage Jn (lncl.) to Preston Fylde Jn,2,2,"DM, UM",lines genuinely span both ELRs - no fix needed
166,"CGJ2, CGJ3",NW1001,Armitage Jn (lncl.) to Preston Fylde Jn,11,11,"ADTS, DF, DM, DS, P1, P2, P3, P4, UF, UM, US",multi-ELR duplication - needs diagram review
180,"HCM2, HCM3",NW1003,Silverdale to Madeley,1,1,D&U,lines genuinely span both ELRs - no fix needed
202,"CHW1, CHW2",NW1019,Acton Grange Jn to Warrington South Jn (Helsby Lines),5,5,"Bank, DH, Quay, UH, UTS",multi-ELR duplication - needs diagram review
203,"DSE, WEE",NW1021,Winwick Jn to Golborne Jn (via Earlestown),6,6,"DCM, P1, P2, UCM, UF, US",multi-ELR duplication - needs diagram review
204,"DSE, NGJ",NW1021,Winwick Jn to Golborne Jn (via Earlestown),8,8,"DCM, DL, PDEC, PDWC, PUEC, PUWC, UCM, UL",multi-ELR duplication - needs diagram review
232,"WJL1, WJL2",NW2001,Weaver Jn. to Liverpool Lime Street,9,9,"DD, DDF, DIT W HS, DLG, ODS, UD, UDF, UDS, ULG",multi-ELR duplication - needs diagram review
233,"WJL2, WJL3",NW2001,Weaver Jn. to Liverpool Lime Street,5,5,"DDF, DDS, SCS, UDF, UDS",multi-ELR duplication - needs diagram review
236,"WJL3, WJL4",NW2001,Weaver Jn. to Liverpool Lime Street,7,7,"DCMS, DDF, P1, P3, P4, UCMS, UDF",multi-ELR duplication - needs diagram review
260,"SBH1, SBH2, SBH3",NW2023,Springs Branch Jn. to Huyton Jn. (St. Helens lines),2,4,"DSH, USH",lines genuinely span both ELRs - no fix needed
262,"DSE, SBH1",NW2023,Springs Branch Jn. to Huyton Jn. (St. Helens lines),8,8,"DCM, DCMF, DCMS, DSH, UCM, UCMF, UCMS, USH",multi-ELR duplication - needs diagram review
265,"BSJ, SCT1, SCT2",NW2027,Edge Hill Bootle Branch Jn to Liverpool Docks,7,14,"DB, DLG, DSPT, I2OL, UB, ULG, USPT",multi-ELR duplication - needs diagram review
306,"CNH2, CNH3",NW3001,Crewe North Jn. to Holyhead,5,5,"DF, DM, DS, UF, US",multi-ELR duplication - needs diagram review
339,"WDB1, WDB2",NW3007,Wrexham Central to Bidston West Jn,2,2,"DM, UM",lines genuinely span both ELRs - no fix needed
342,"CWK3, WDB3",NW3007,Wrexham Central to Bidston West Jn,1,1,UM,lines genuinely span both ELRs - no fix needed
360,"EJN, SJD, WJP1",NW3023,Edgeley Jn No.2 to Mickle Trafford,3,6,"DM, OM, UM",multi-ELR duplication - needs diagram review
361,"CDM1, SJD",NW3023,Edgeley Jn. No.2 to Mickle Trafford,2,2,"DM, UM",lines genuinely span both ELRs - no fix needed
362,"CDM1, CDM2",NW3023,Edgeley Jn. No.2 to Mickle Trafford,2,2,"DM, UM",lines genuinely span both ELRs - no fix needed
375,"CMP1, SNJ",NW3029,Sandbach North Jn to Northwich West Jn,6,6,"Cll, For, OF, U&D MB, U&D PLAT, U&DMB",junk entries - parsing artifacts
381,"HNO, HWG",NW3035,Hartford West Jn to Oakleigh Sidings (Winnington Branch),3,3,"D&UEG, D&UG, D&UWG",multi-ELR duplication - needs diagram review
421,"CBC1, CGJ7",NW4001,Preston Ribble Jn to Cove L.C.,4,4,"DM, U&DGL, UM, UPL",multi-ELR duplication - needs diagram review
431,"CGJ7, WCM1",NW4001,Preston Ribble Jn to Cove L.C.,13,13,"DM, M&C, NEW, P1, P2, P3, P4, P5, P6, P7, P8, SN, UM",multi-ELR duplication - needs diagram review
433,"KMG1, WCM1",NW4001,Preston Ribble Jn to Cove L.C.,5,5,"ON ARR, UM, UP ARR, UPL, USN",multi-ELR duplication - needs diagram review
434,"KMG1, KMG2, WCM1",NW4001,Preston Ribble Jn to Cove L.C.,4,8,"DD, DM, UA, UM",multi-ELR duplication - needs diagram review
443,"KBS1, PBN",NW4007,Kirkham North Jn. to Blackpool South,7,7,"DFy, DL, P1, P2, P3, UFy, UL",multi-ELR duplication - needs diagram review
465,"CBC1, CGJ7",NW4033,Carnforth North Jn to Carlisle South Jn (via Barrow),7,7,"DFG, DM, P1, P2, U&DF, U&DGL, UM",multi-ELR duplication - needs diagram review
466,"CBC1, SJC",NW4033,Carnforth North Jn to Carlisle South Jn (via Barrow),4,4,"DFG, DM, DSS, UM",multi-ELR duplication - needs diagram review
473,"CBC1, RDK1",NW4033,Carnforth North Jn to Carlisle South Jn (via Barrow),2,2,"DM, UM",lines genuinely span both ELRs - no fix needed
487,"CBC1, CBC2",NW4033,Carnforth North Jn to Carlisle South Jn (via Barrow),5,5,"D&U, OM, P1, P2, UM",multi-ELR duplication - needs diagram review
491,"CBC2, CBC3",NW4033,Carnforth North Jn to Carlisle South Jn (via Barrow),3,3,"D&U PT, OM, UM",multi-ELR duplication - needs diagram review
496,"CBC3, CGJ7",NW4033,Carnforth North Jn to Carlisle South Jn (via Barrow),8,8,"DM, DM&C, DTG, ONG, U&D NEW, UM&C, UNG, UTG",multi-ELR duplication - needs diagram review
531,"CMP1, CMP2",NW5001,Crewe North Jn to Manchester Piccadilly,5,5,"DHV, DM, U&D Ch, UHV, UM",multi-ELR duplication - needs diagram review
535,"CMP2, LMD1, LMD2, LMD3, LMD4",NW5001,Crewe North Jn to Manchester Piccadilly,16,64,"ARR, CMP2, DEP, DEP/REC, LMD1, LMD2, LMD3, LMD4, LMD5, LMD6, LMD8, NOTE, OF, U&DG, UF, WPL",junk entries - parsing artifacts
543,"NBS, NBS1",NW5008,Norton Bridge to Stone Jn,3,3,"DNB, NBEC, UNB",multi-ELR duplication - needs diagram review
