"Hazard ID","ELR","ELR Name","Mileage  From","Mileage To","Hazard Description","Local Name","Track","Free Text","Operational Status Code"
"60325949","GNQ1","GOBOWEN - OSWESTRY MILEPOST CHANGE","-0.0042","2.0077","Buried Telecommunication Cables","*","All/Multiple Tracks","@Note: There could be buried telecoms cables throughout this ELR. If details of cable location are known this cable MUST be identified first before any ground penetration work is carried out.@","O"
"40582702","LLJ","LLANDUDNO JUNCTION - LLANDUDNO","-0.0015","3.0317","Conservation Area","LLANDUDNO","Unknown","MENAI STRAIT & CONWY BAY CANDIDATE SPECIAL AREA OF CONSERVATION. FLORA & FAUNA. SEE P BAXTER FOR MORE INFORMATION. MILEAGES NOT VERIFIED.","C"
"40091366","LLJ","LLANDUDNO JUNCTION - LLANDUDNO","0.0000","0.0440","COSS or IWA may not work alone","LLANDUDNO JN","All/Multiple Tracks","Up & Down <>","NP"
"50138710","SHL","SHREWSBURY & HEREFORD LINE","0.0000","1.0000","Bi-directional Working","Bi-directional Lines Hereford Direction","All/Multiple Tracks","ZIAR Ref No_272422_ Interim Reference No_HZ_10940 _Notes: And Restricted View. Sourced from Issue 1. Dated 25/3/97. of the Hazards Directory","O"
"50138715","SBA1","SUTTON BR JCN - WELSHPOOL","0.0000","16.0418","Bi-directional Working","Bi-directional Single Line Throughout","All/Multiple Tracks","ZIAR Ref No_272427_ Interim Reference No_HZ_10945 _Notes: Sourced from Issue 1. Dated 25/3/97. of the Hazards Directory","O"
"60115763","CWL2","CENTRAL WALES LINE","0.0000","0.0000","Buried Service","*","All/Multiple Tracks","SO432826-137 Not Known Possibly same as Hazard item 38894 at corresponding mileage on SHL. Unknown Cable - HAZARD V.10","NP"
"60118219","CWL2","CENTRAL WALES LINE","0.0000","14.1518","Aircraft Noise","Craven Arms-Knucklas","All/Multiple Tracks","SO432826-137 Railtrack Low flying military aircraft from Craven Arms to Knucklas Aircraft Noise or Low Flying risk - RAR Code: EKA - HAZARD V.10","NP"
"60154049","HNL1","HEREFORD & NEWPORT LINE (REDHILL JN - NEWPORT)","0.0000","34.0000","Buried Service","Cwmbran","All/Multiple Tracks","ST297967-1-171 CableTel Nil return for Cabletel at this location None - HAZARD V.10",""
"50138713","SBA1","SUTTON BR JCN - WELSHPOOL","0.0000","16.0418","Road/Rail Noise","Beware of Noise","All/Multiple Tracks","ZIAR Ref No_272425_ Interim Reference No_HZ_10943 _Notes: Noise from Wind, Road Traffic and Low Flying Aircraft. Sourced from Issue 1. Dated 25/3/97. of the Hazards Directory","NP"
"50140249","SHL","SHREWSBURY & HEREFORD LINE","0.0000","0.0000","Restricted Clearance","Limited Clearance at Br 1>   Part of the Viaduct","All/Multiple Tracks","ZIAR Ref No_266009_ Interim Reference No_HZ_3440 _Notes:","O"
"40582701","GLA","GAERWEN - AMLWCH","0.0000","13.1320","Conservation Area","WALES COUNTRYSIDE COUNCIL","Unknown","MENAI STRAIT & COLYN BAY CANDIDATE SPECIAL AREA OF CONSERVATION. FLORA & FAUNA. SEE P BAXTER FOR MORE INFORMATION. MILEAGES NOT VERIFIED.","C"
"60290842","AFE","ABBEY FOREGATE JN - ENGLISH BR JN (LOOP LINES)","0.0000","0.0550","Water Protection Zone","Shelton","All/Multiple Tracks","Shrewsbury Loop- Weedspray restriction-GLY only","O"
"60294079","SBA1","SUTTON BR JCN - WELSHPOOL","0.0000","2.0000","Water Protection Zone","Shelton","Unknown","Weedspray restrictions- GLY only- Environment agency Midlands","O"
"60294084","SHL","SHREWSBURY & HEREFORD LINE","0.0000","2.0220","Water Protection Zone","Shelton","Unknown","Weedspray restriction-GLY only-Midlans Environment agency","O"
"60325905","CWL2","CENTRAL WALES LINE","0.0000","59.0301","Buried Telecommunication Cables","*","All/Multiple Tracks","@Note: There could be buried telecoms cables throughout this ELR. If details of cable location are known this cable MUST be identified first before any ground penetration work is carried out.@","O"
