"Hazard ID","ELR","ELR Name","Mileage  From","Mileage To","Hazard Description","Local Name","Track","Free Text","Operational Status Code"
"60325929","EXR","EXETER RAILWAY","-0.0152","0.1282","Buried Telecommunication Cables","","All/Multiple Tracks","@Note: There could be buried telecoms cables throughout this ELR. If details of cable location are known this cable MUST be identified first before any ground penetration work is carried out.@","O"
"60325923","EMT","EXETER AND EXMOUTH LINE","-0.0023","9.0704","Buried Telecommunication Cables","","All/Multiple Tracks","@Note: There could be buried telecoms cables throughout this ELR. If details of cable location are known this cable MUST be identified first before any ground penetration work is carried out.@","O"
"60135469","LOF","LOSTWITHIEL AND FOWEY BRANCH","0.0000","0.0000","Conservation Area","Nearest station: Fowey","","SX126522-200 Railtrack Land And Buildings At Caffa Mill Pill Fowey Conservation Area Nearest stn: Fowey; Council: Restormel; Planning auth: Restormel Bc ID: HR09780/8001 Conservation Area - RAR Code: ESB - HAZARD V.10",""
"60095937","LOO","LOOE BRANCH","0.0000","0.0000","Buried Gas Pipe","Looe Branch","All/Multiple Tracks","SX633240-201 Railtrack NB Looe branch commences at 0.0418, remainder dismantled/sold. High Pressure Gas - RAR Code: HBG - HAZARD V.10",""
"60113775","PLO","PLYMOUTH LOOP NO 1","0.0000","0.0396","Buried Service","","All/Multiple Tracks","SX501558-201 Not Known No services found for Eurobell <South West> Ltd, Energis, Cable and Wireless, National Grid, Esso Pipelines None - HAZARD V.10",""
"60113792","PLO","PLYMOUTH LOOP NO 1","0.0000","0.0396","Site Contamination","","","SX501558-201 Railtrack The Environment Agency will not have any watercourses affected by works. Miscellaneous - HAZARD V.10",""
"60113799","PLO","PLYMOUTH LOOP NO 1","0.0000","0.0396","Buried S&T Cable","","All/Multiple Tracks","SX501558-201 Railtrack Scott Wilson plans show trough alongside track. Plans available S&T Cable - RAR Code: HBS - HAZARD V.10",""
"60113800","PLO","PLYMOUTH LOOP NO 1","0.0000","0.0396","Buried Gas Pipe","","All/Multiple Tracks","SX501558-201 Transco Transco gas main found in bridge under track. Plans available Gas Pipe - HAZARD V.10",""
"60113801","PLO","PLYMOUTH LOOP NO 1","0.0000","0.0396","Buried Plant Cable","","All/Multiple Tracks","SX501558-201 SWEB Plymouth Mount Gould IRJ plant located alongside track. Plans available Plant Cable - HAZARD V.10",""
"60153386","LOO","LOOE BRANCH","0.0000","2.0000","Buried Service","Looe","All/Multiple Tracks","SX254565-201 National Grid Nil return for Nat Grid at this location None - HAZARD V.10",""
