"Hazard ID","ELR","ELR Name","Mileage  From","Mileage To","Hazard Description","Local Name","Track","Free Text","Operational Status Code"
"20175617","DAE1","DARLINGTON PARKGATE JN - SHILDON SOUTH JN","-0.0132","-0.0105","Buried Electrical Cables","","","Electricity Cable. RT Document: RTP LP NO.349 + 349A. RUNNING ALONG WEST SIDE OF RAILWAY. CROSS REF ECM5. 
 07040/0134 RT PROP MENTOR REF",""
"20175618","DAE1","DARLINGTON PARKGATE JN - SHILDON SOUTH JN","-0.0119","-0.0017","Buried Electrical Cables","BRIDGE NO 101","","Electricity Cable. RT Document: RTP LP NO.349 + 349A. RUNNING ALONG WEST SIDE OF RAILWAY
 07040/0137 RT PROP MENTOR REF",""
"20175619","DAE1","DARLINGTON PARKGATE JN - SHILDON SOUTH JN","-0.0111","0.0000","Buried Electrical Cables","Darlington","All/Multiple Tracks","Electricity Cable. RT Document: RTP LP NO.349 + 349A. ACROSS TRACKS~ . CROSS REF ECM5. ~ 07040/0157 RT PROP MENTOR REF",""
"20175620","DAE1","DARLINGTON PARKGATE JN - SHILDON SOUTH JN","-0.0105","0.0000","Buried Electrical Cables","Darlington","All/Multiple Tracks","Electricity Cable. RT Document: RTP LP NO.349 + 349A. ACROSS TRACKS~ . CROSS REF ECM5. ~ 07040/0134 RT PROP MENTOR REF",""
"20155656","REB4","CASTLE HILLS JN - CASTLE HILLS INNER JN","-0.0088","-0.0042","25Kv Overhead Electrification","?","All/Multiple Tracks","Overhead Line Electrification. ELECT DETAILS FROM GEOGIS MAINFRAME SYSTEM",""
"120013077","REB4","CASTLE HILLS JN - CASTLE HILLS INNER JN","-0.0077","0.0158","Landfill Gases","Yafford Road, Northallerton","All/Multiple Tracks","Domestic, commercial and industrial waste. 
Landfill gas present? Yes 
Hazards associated with sites within 250m of known landfill include:
Hazardous gases
Leachate (hazardous liquids)
Contaminated soils 
Project sponsors shall request landfill information for all proposed construction projects (NR/L3/CIV/066 Clause 18).
Request form can be found on Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
"20155680","LEN2","NORTHALLERTON HIGH JN - EAST LOW JN","-0.0044","0.0037","25Kv Overhead Electrification","?","All/Multiple Tracks","Overhead Line Electrification. ELECT DETAILS FROM GEOGIS MAINFRAME SYSTEM",""
"20165825","DAE1","DARLINGTON PARKGATE JN - SHILDON SOUTH JN","-0.0028","0.0000","Buried Gas Pipe","BRIDGE NO 101","All/Multiple Tracks","High Pressure Gas Pipeline. RT Document: RTP LP NO.349 + 349A. ACROSS TRACKS~ . CROSS REF ECM5. ~ 07040/0113 RT PROP MENTOR REF",""
"20175621","DAE1","DARLINGTON PARKGATE JN - SHILDON SOUTH JN","-0.0028","0.0000","Buried Electrical Cables","BRIDGE NO 101","All/Multiple Tracks","Electricity Cable. RT Document: RTP LP NO.349 + 349A. ACROSS TRACKS~ . CROSS REF ECM5. ~ M.11075 OLD PROP MISC REF",""
"20175622","DAE1","DARLINGTON PARKGATE JN - SHILDON SOUTH JN","-0.0028","-0.0007","Buried Electrical Cables","BRIDGE NO 101","","Electricity Cable. RT Document: RTP LP NO.349 + 349A. RUNNING ALONG WEST SIDE OF RAILWAY
 07040/0136 RT PROP MENTOR REF",""
"20175578","DAE1","DARLINGTON PARKGATE JN - SHILDON SOUTH JN","-0.0017","0.0000","Buried Electrical Cables","NEAR BRIDGE NO 101","All/Multiple Tracks","Electricity Cable. RT Document: RTP LP NO.349 + 349A. ACROSS TRACKS~ 07040/0137 RT PROP MENTOR REF",""
"20175579","DAE1","DARLINGTON PARKGATE JN - SHILDON SOUTH JN","-0.0017","0.0293","Buried Electrical Cables","NEAR BRIDGE NO 101","All/Multiple Tracks","Electricity Cable. RT Document: RTP LP NO.349 + 349A. RUNNING BETWEEN TRACKS~ 07040/0137 RT PROP MENTOR REF",""
"20155718","HOS","HOLGATE JN SKELTON JN","0.0000","1.0968","25Kv Overhead Electrification","?","All/Multiple Tracks","Overhead Line Electrification. ELECT DETAILS FROM GEOGIS MAINFRAME SYSTEM",""
"20159560","ECM5","YORK STATION - NEWCASTLE WEST JN","0.0000","0.0000","Hazard Associated With Drain","York Station: Drainage","All/Multiple Tracks","Drain pipe. RT Document: Location A574 BOX 2. Contact the Records Centre for further information. 03 74347. ",""
"20159561","ECM5","YORK STATION - NEWCASTLE WEST JN","0.0000","0.0000","Hazard Associated With Drain","York Station: Shortstay Car Park Contract No 2 Ent","All/Multiple Tracks","Drain pipe. RT Document: 106382-3-004: Location 6773. Contact the Records Centre for further information. 03 74347. ",""
"20159562","ECM5","YORK STATION - NEWCASTLE WEST JN","0.0000","0.0000","Hazard Associated With Drain","York: High Speed Watering Facilities - General Arr","All/Multiple Tracks","Drain pipe. RT Document: 69YW110: Location 8321. Contact the Records Centre for further information. 03 74347. ",""
"20159563","ECM5","YORK STATION - NEWCASTLE WEST JN","0.0000","0.0000","Buried Gas Pipe","York Station And Surrounding Area: Gas Routes","All/Multiple Tracks","High Pressure Gas Pipeline. RT Document: Location A574 BOX 3. Contact the Records Centre for further information. 03 74347. ",""
"20159564","ECM5","YORK STATION - NEWCASTLE WEST JN","0.0000","0.0000","Buried Water Main","York: Loco Watering Facilities - Pipe Details To C","Unknown","High Pressure Water Pipeline. RT Document: 69YW235: Location 8324. Contact the Records Centre for further information. 03 74347. ",""
"20159583","ECM4","COLTON JN - YORK STATION","0.0000","0.0000","Hazard Associated With Drain","Bridge 1York Station: F/B: Platforms 8 & 9 Floor &","","Drain pipe. RT Document: 86YWC018: Location 9591. Contact the Records Centre for further information. 03 74347. ",""
"20159606","ECM4","COLTON JN - YORK STATION","0.0000","0.0000","Hazard Associated With Drain","Bridge 1 York Station: F/B: Platforms 8 & 9 New Sp","","Drain pipe. RT Document: 86YWC016: Location 9591. Contact the Records Centre for further information. 03 74347. ",""
"20159607","ECM4","COLTON JN - YORK STATION","0.0000","0.0000","Hazard Associated With Drain","Bridge 1 York Station: F/B: Platforms 8 & 9 Altera","","Drain pipe. RT Document: 86YWC017: Location 9591. Contact the Records Centre for further information. 03 74347. ",""
"20160792","ECM5","YORK STATION - NEWCASTLE WEST JN","0.0000","0.0000","Buried Gas Pipe","YORK STATION","All/Multiple Tracks","High Pressure Gas Pipeline. RT Document: PB6911.",""
"20160793","ECM5","YORK STATION - NEWCASTLE WEST JN","0.0000","0.0000","Hazard Associated With Drain","YORK STATION","All/Multiple Tracks","Drain pipe. RT Document: PB6916.",""
"20160794","ECM5","YORK STATION - NEWCASTLE WEST JN","0.0000","0.0000","Hazard Associated With Drain","YORK STATION","All/Multiple Tracks","Drain pipe. RT Document: PB6916.",""
