"Hazard ID","ELR","ELR Name","Mileage  From","Mileage To","Hazard Description","Local Name","Track","Free Text","Operational Status Code"
"120016267","DRA1","DRAX POWER STATION - APPROACH TRACKS","-0.0040","1.0015","Other Contamination","Mining Referral Layer","All/Multiple Tracks","Within Network Rail's Mining Referral area. 
Site is located in an area of known historic or current mining, and surface defects associated with mining may be present or develop over time.
If planned work includes anything which could be deemed 'qualifying construction work' under NR/L2/CIV/191/Mod 5, a Stage 1 Mining Report should be requested from Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
"120015712","KES","KNOTTINGLEY EAST JN SOUTH JN","-0.0009","0.0442","Other Contamination","Mining Referral Layer","All/Multiple Tracks","Within Network Rail's Mining Referral area. 
Site is located in an area of known historic or current mining, and surface defects associated with mining may be present or develop over time.
If planned work includes anything which could be deemed 'qualifying construction work' under NR/L2/CIV/191/Mod 5, a Stage 1 Mining Report should be requested from Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
"120013668","KES","KNOTTINGLEY EAST JN SOUTH JN","-0.0004","0.0150","Landfill Gases","England Lane, Knottingley","All/Multiple Tracks","Infill of old quarry with unknown wastes. The site has been built over. 
Landfill gas present? Unknown 
Hazards associated with sites within 250m of known landfill include:
Hazardous gases
Leachate (hazardous liquids)
Contaminated soils 
Project sponsors shall request landfill information for all proposed construction projects (NR/L3/CIV/066 Clause 18).
Request form can be found on Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
"120013642","CTL","CALDER BRIDGE JN TURNERS LANE JN","-0.0002","0.0767","Landfill Gases","Calder Vale, Wakefield","All/Multiple Tracks","Construction, industrial and commercial waste. 
Landfill gas present? Yes 
Hazards associated with sites within 250m of known landfill include:
Hazardous gases
Leachate (hazardous liquids)
Contaminated soils 
Project sponsors shall request landfill information for all proposed construction projects (NR/L3/CIV/066 Clause 18).
Request form can be found on Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
"120015726","CTL","CALDER BRIDGE JN TURNERS LANE JN","-0.0002","0.1166","Other Contamination","Mining Referral Layer","All/Multiple Tracks","Within Network Rail's Mining Referral area. 
Site is located in an area of known historic or current mining, and surface defects associated with mining may be present or develop over time.
If planned work includes anything which could be deemed 'qualifying construction work' under NR/L2/CIV/191/Mod 5, a Stage 1 Mining Report should be requested from Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
"20149317","HUL1","HULL STATION - SELBY (1ST PART OF HULL - LEEDS)","0.0000","0.0000","Hazard Undefined","Hull Station","","Utility not identified. CCTV",""
"20149684","HUL3","SELBY SOUTH JN - AREA BDY MICKLEFIELD (3RD PART OF HULL - LEEDS)","0.0000","0.0000","Hazard Undefined","","","Utility not identified. RT Document: RTP LP NO.390. ACROSS TRACKS
 NER AGT 4031-3 RT PROP DEED REF",""
"20149788","CTL","CALDER BRIDGE JN TURNERS LANE JN","0.0000","0.0000","Warning SSOW Prohibited","Calder Bridge","","MIMS-X///AB - PROTECTION SSOW ONLY. NOR WARNING SSOW. WHEN ACTUALLY ON BRIDGE TII - NOT SEEN ON SERCO -",""
"20150285","SMJ2","SWINTON JN TO MILFORD JN (DEARNE JCN TO BURTON SALMON PORTION)","0.0000","0.0110","Restricted Clearance","S&K Line between Pontefract/Up Normanton","","Sub-standard Ten Foot",""
"20150486","KES","KNOTTINGLEY EAST JN SOUTH JN","0.0000","0.0440","Restricted Sighting","Knottingley South Curve (South Jn-East Jn)","","",""
"20150528","HUL3","SELBY SOUTH JN - AREA BDY MICKLEFIELD (3RD PART OF HULL - LEEDS)","0.0000","0.0990","Restricted Sighting","Selby South Junction - Selby Level Crossing","","",""
"20150545","EGG1","EGGBOROUGH POWER STATION - APPROACH TRACKS","0.0000","0.0550","Restricted Sighting","","","",""
"20150673","CPM2","FORMER CUTSYKE JN - CASTLEFORD W JN","0.0000","0.1342","Restricted Sighting","Castleford - Cutsyke Junction Level Crossing","","MIMS-X///KN - Not seen on SERCO -",""
"20150696","DRA1","DRAX POWER STATION - APPROACH TRACKS","0.0000","0.0660","Restricted Sighting","","","MIMS-X///SC - Not seen on SERCO -",""
"20150939","HUL1","HULL STATION - SELBY (1ST PART OF HULL - LEEDS)","0.0000","0.0000","Authorised Walking Route","Hull Paragon (c) TOC/FOC Route","","From time office, turn left along platform 2, turn left again at platform 1, under the archway and turn right onto C siding using ramp.",""
"20151105","HUL3","SELBY SOUTH JN - AREA BDY MICKLEFIELD (3RD PART OF HULL - LEEDS)","0.0000","0.0000","Other Contamination","Selby South Junction Battery Room and Facilities","","Contaminated Site - Other. Running Lines",""
"20151106","HUL3","SELBY SOUTH JN - AREA BDY MICKLEFIELD (3RD PART OF HULL - LEEDS)","0.0000","0.0000","Other Contamination","Selby South Junction Battery Room and Facilities","","Contaminated Site - Other. Train Movements",""
"20152380","HUL1","HULL STATION - SELBY (1ST PART OF HULL - LEEDS)","0.0000","0.0000","Asbestos Hazard","Hull Station","","Mineral Fibre. Possible Asbestos Ex-Signal Staff Building Canopy and BT Police",""
"20152381","HUL1","HULL STATION - SELBY (1ST PART OF HULL - LEEDS)","0.0000","0.0000","Other Contamination","Hull Station","","Contaminated Site - Other. Lead Paint Old Buildings and Equipment",""
"20152382","HUL1","HULL STATION - SELBY (1ST PART OF HULL - LEEDS)","0.0000","0.0000","Other Contamination","Hull Station","","Vermin Rats. Rats in Cellars",""
