"Hazard ID","ELR","ELR Name","Mileage  From","Mileage To","Hazard Description","Local Name","Track","Free Text","Operational Status Code"
"20155784","DEL","","0.0592","0.0622","25Kv Overhead Electrification","York triangle","Rev Siding","Overhead Line Electrification. ELECT DETAILS FROM GEOGIS MAINFRAME SYSTEM",""
"20774004","DEL","","0.1633","0.1633","Authorised Access Point - Pedestrian","Landing Lane BR4 YO26 4RH","Up Main/Fast","Off A59 For Clifton, immediate right over Railway Bridge. SE582523.","R"
"20789288","DEL","","7.0910","7.0920","Authorised Access Point - Road-Rail Machines","OXTON LANE DN NORM YO23 7AR","Down Main/Fast","New Road/Rail Access Point Off Oxton Lane jumbo.boxing.blitz","R"
"20789289","DEL","","7.0910","7.0920","Authorised Access Point - Road-Rail Machines","OXTON LANE DN NORM YO23 7AR","Up Main/Fast","New Road/Rail Access Point Off Oxton Lane jumbo.boxing.blitz","R"
"20151442","DEL","","22.0352","22.0352","25Kv Overhead Electrification","Thirsk REB","All/Multiple Tracks","Overhead Line Electrification.",""
"20789348","DEL","","23.0726","23.0726","Authorised Access Point - Level Crossing","PICKS NO 82 UWC YO7 4DD","All/Multiple Tracks","Access only on permission from land owner. Please contact Mr Bell on 07809148239 prior any works What3Words:revisits.inversely.community","R"
"20151126","DEL","","30.0198","30.0198","25Kv Overhead Electrification","Northallerton Junction REB","All/Multiple Tracks","Overhead Line Electrification.",""
"20152598","DEL","","44.0220","44.0220","25Kv Overhead Electrification","Darlington Station","All/Multiple Tracks","Overhead Line Electrification.",""
"20151233","DEL","","44.1382","44.1382","25Kv Overhead Electrification","Darlington Park Gate Relay Room <PER>","All/Multiple Tracks","Overhead Line Electrification.",""
"20153221","DEL","","169.0352","169.0352","25Kv Overhead Electrification","Temple Hirst Junction Relay Room","All/Multiple Tracks","Overhead Line Electrification.",""
"20153079","DEL","","174.1210","174.1210","25Kv Overhead Electrification","Hambleton Relay Room","All/Multiple Tracks","Overhead Line Electrification.",""
"20151542","DEL","","184.0110","184.0110","25Kv Overhead Electrification","Earfit Lane Level Crossing","All/Multiple Tracks","Overhead Line Electrification.",""
