"Hazard ID","ELR","ELR Name","Mileage  From","Mileage To","Hazard Description","Local Name","Track","Free Text","Operational Status Code"
"70202546","FLL1","LONGHEDGE ""A"" JN - FACTORY JN","0.0220","0.0220","Hazard-Clearance","","Down Main/Fast","Decreasing Mileage in Down Direction","O"
"110142413","RVC","RAVENSBOURNE CHORD","0.0384","0.0384","Authorised Access Point - Vehicle","Shortlands VIR - RVC","Up Loop","Score 13","O"
"110173747","FLL1","LONGHEDGE ""A"" JN - FACTORY JN","0.0770","0.0836","Invasive / Injurious Plants","LONGHEDGE ""A"" JCN - FACTORY JCN","Down Main/Fast","",""
"70202534","FLL1","LONGHEDGE ""A"" JN - FACTORY JN","0.0834","0.0834","Hazard-Clearance","","Down Main/Fast","Decreasing Mileage in Down Direction","O"
"110141933","BSF","BATTERSEA PIER TO FACTORY JUNCTION","1.0353","1.0404","Gradient Greater Than 1 In 50","","All/Multiple Tracks","The Gradient at this location is 1 in 50 or greater. This MUST be considered in the planning and use of ON TRACK PLANT and HAND TROLLEYS.","O"
"110141935","BSP1","BATTERSEA PIER JN - LONGHEDGE ""A"" JN VIA STEWARTS LANE","1.0353","1.0404","Gradient Greater Than 1 In 50","","All/Multiple Tracks","The Gradient at this location is 1 in 50 or greater. This MUST be considered in the planning and use of ON TRACK PLANT and HAND TROLLEYS.","O"
"120001471","BSP1","BATTERSEA PIER JN - LONGHEDGE ""A"" JN VIA STEWARTS LANE","1.0353","1.1295","Authorised Access Point - Pedestrian","Engine shed sidings/Aggregate sidings","Down Siding","https://w3w.co/link.shine.option

Above access point is not showing in the system, we use it for our HH19 Engine Shed Sidings (Aggregate Sidings) Patrol access","C"
"110155465","BSP1","BATTERSEA PIER JN - LONGHEDGE ""A"" JN VIA STEWARTS LANE","1.0374","1.0374","Authorised Access Point - Road-Rail Machines","Battersea Yard QVC 2","Rev Single","Until urgent remedial works are carried out the use of this RRV access point is prohibited.","O"
"110179955","BSP1","BATTERSEA PIER JN - LONGHEDGE ""A"" JN VIA STEWARTS LANE","1.0516","1.0696","Authorised Access Point - Pedestrian","6165 - BATTERSEA PIER REB","Rev Single","WHAT 3 WORDS ///DARKER.FORMS.RENT.    BATTERSEA REVERSIBLE.    ACCESS VIA PEDESTRIAN OR VEHICLE ACCESS. 7M OF CONCRETE, TURN RIGHT TARMAC/DIRT TO AN ACCESS GATE. 9.5M OF DIRT/RUBBISH FOLLOWED BY 143M YELLOW WAFFLE BOARD, 11 METAL STEPS UP TO GSMR SITE.  ACCESS IS TRACKSIDE, NO ADDITIONAL LIGHTING.","O"
"110179299","BSP1","BATTERSEA PIER JN - LONGHEDGE ""A"" JN VIA STEWARTS LANE","1.0540","1.0540","Authorised Access Point","Stewarts Lane/Bradmead road","","Authorised Access Point.  WHAT3WORDS///ONLINE.MASON.GRAVY.","O"
