"Hazard ID","ELR","ELR Name","Mileage  From","Mileage To","Hazard Description","Local Name","Track","Free Text","Operational Status Code"
"10581010","WRO","RT/AHT WATERLOO GOODS - KITTYBREWSTER JN.","-0.0164","1.1455","Gradient Greater Than 1 in 100","WATERLOO BRANCH LINE","All/Multiple Tracks","When planning a Safe System of Work in this area consideration must be given to managing the Risk of Runaway <Gradient information currently unavailable for this ELR>.","O"
"10575321","DEL","DELETED RECORDS","-0.0164","1.1455","Warning SSOW Prohibited","WRO","All/Multiple Tracks","SCOTLAND ROUTE HAS INTRODUCED A PROHIBITION ON THE USE OF WARNING SSOW WORKING UNLESS PROTECTION IS PROVIDED BY LOWS OR TOWS.  THIS INCLUDES WORKING AS AN INDIVIDUAL WORKING ALONE OR GOING DOWN THE HIERARCHY WHEN PROTECTION SSOW IS OR BECOMES UNAVAILABLE.  YOU WILL STILL BE ALLOWED TO ""CROSS THE LINE"" OR GO ROUND AN OBSTACLE AS LONG AS YOUR PRIMARY SSOW IS A PROTECTION SSOW AND YOU HAVE SIGHTING DISTANCE AND HAVE A WAY OF CALCULATING THIS DISTANCE.  DO NOT ACCEPT ANY PLAN THAT HAS WARNING SSOW AS THE PRIMARY SSOW UNLESS LOWS OR TOWS ARE UTILISED.","O"
"10581008","BGD","ALVES JN - BUFFER STOP (4M870Y) - BURGHEAD SMD","-0.0044","4.0870","Gradient Greater Than 1 in 100","BURGHEAD BRANCH LINE","All/Multiple Tracks","When planning a Safe System of Work in this area consideration must be given to managing the Risk of Runaway <Gradient information currently unavailable for this ELR>","O"
"10575291","DEL","DELETED RECORDS","-0.0044","4.0890","Warning SSOW Prohibited","BGD","All/Multiple Tracks","SCOTLAND ROUTE HAS INTRODUCED A PROHIBITION ON THE USE OF WARNING SSOW WORKING UNLESS PROTECTION IS PROVIDED BY LOWS OR TOWS.  THIS INCLUDES WORKING AS AN INIDIVIDUAL WORKING ALONE OR GOING DOWN THE HIERARCHY WHEN PROTECTION SSOW IS OR BECOMES UNAVAILABLE.  YOU WILL STILL BE ALLOWED TO ""CROSS THE LINE"" OR GO ROUND AN OBSTACLE AS LONG AS YOUR PRIMARY SSOW IS A PROTECTION SSOW AND YOU HAVE SIGHTING DISTANCE AND HAVE A WAY OF CALCULATING THIS DISTANCE.  DO NOT ACCEPT ANY PLAN THAT HAS WARNING SSOW AS THE PRIMARY SSOW UNLESS LOWS OR TOWS ARE UTILISED.","O"
"10402422","WCK","INVERNESS STATION - WICK","0.0000","0.0737","Buried Electrical Cables","INVERNESS:FALCON SQUARE","All/Multiple Tracks","LV UNDERGROUND CABLE~ <Ref. Wayleave No 912137011000 >~ <Missing>~ Node=N037","NP"
"10402423","WCK","INVERNESS STATION - WICK","0.0000","0.0737","Buried Electrical Cables","INVERNESS NEEDLEFIELD SDG","All/Multiple Tracks","U/G CABLE DRAIN W/PIPE<SEE NOTES>~ <Ref. Wayleave No 912137078000 >~ <Missing>~ Node=N037","NP"
"10402424","WCK","INVERNESS STATION - WICK","0.0000","0.0737","Buried Electrical Cables","INVERNESS LONGMORN SDGS","All/Multiple Tracks","U/G H/T CABLE UNDER RLY~ <Ref. Wayleave No 912137080000 >~ <Within Sidings Area>~ Node=N037","NP"
"10402426","WCK","INVERNESS STATION - WICK","0.0000","0.0737","Buried Electrical Cables","INVERNESS","All/Multiple Tracks","U/G ELEC CABLE TO STN HOTEL~ <Ref. Wayleave No 912137084000 >~ <Station Hotel>~ Node=N037","NP"
"10402427","WCK","INVERNESS STATION - WICK","0.0000","0.0737","Buried Water Main","INVERNESS","All/Multiple Tracks","DRAIN & WATER PIPE AT LONGMAN RD C/P #10~ <Ref. Wayleave No 912137086000 >~ <Missing>~ Node=N037","NP"
"10401622","WRO","RT/AHT WATERLOO GOODS - KITTYBREWSTER JN.","0.0000","0.0439","Buried Water Main","ABERDEEN WATERLOO","All/Multiple Tracks","SERVITUDE FOR FOOTBRIDGE.~ <Ref. Wayleave No 914502001000 >~ <Missing>~ Node=N045","NP"
"10401623","WRO","RT/AHT WATERLOO GOODS - KITTYBREWSTER JN.","0.0000","0.0439","Buried Water Main","A/DEEN WATERLOO ALBION ST","All/Multiple Tracks","CABLE IN ROADWAY OF BRIDGE~ <Ref. Wayleave No 914502066000 >~ <Missing>~ Node=N045","NP"
"10401625","WRO","RT/AHT WATERLOO GOODS - KITTYBREWSTER JN.","0.0000","0.0439","Buried Gas Pipe","A/DEEN WATERLOO","All/Multiple Tracks","24 INCH GAS MAIN UNDER WATERLOO BRIDGE~ <Ref. Wayleave No 914502072000 >~ <Missing>~ Node=N045","NP"
"10401626","WRO","RT/AHT WATERLOO GOODS - KITTYBREWSTER JN.","0.0000","0.0439","Buried Electrical Cables","ABERDEEN WATERLOO QUAY","All/Multiple Tracks","U/G L/V CABLE~ <Ref. Wayleave No 914502090000 >~ <Missing>~ Node=N045","NP"
"10584629","TSO","GEORGEMAS JN - THURSO STN","0.0000","0.0100","Invasive / Injurious Plants","GEORGEMAS","All/Multiple Tracks","Horsetail growing in 4ft","O"
"10402391","WCK","INVERNESS STATION - WICK","0.0000","0.0737","Buried Electrical Cables","INVERNESS","All/Multiple Tracks","U/G H/T CABLE~ <Ref. Wayleave No 912137101000 >~ <Within Sidings Area>~ Node=N037","NP"
"10402392","WCK","INVERNESS STATION - WICK","0.0000","0.0737","Buried Service","INVERNESS","All/Multiple Tracks","GROUND FOR PIPE TRACK AT STN C/P #2.50~ <Ref. Wayleave No 912137108000 >~ <No Plan>~ Node=N037","NP"
"10402394","WCK","INVERNESS STATION - WICK","0.0000","0.0737","Buried Electrical Cables","INVERNESS NEEDLEFIELD SIDING","All/Multiple Tracks","L/T U/G CABLE TO STAFF ACCOM~ <Ref. Wayleave No 912137131000 >~ <Missing>~ Node=N037","NP"
