"Hazard ID","ELR","ELR Name","Mileage  From","Mileage To","Hazard Description","Local Name","Track","Free Text","Operational Status Code"
"50139115","SPC1","ST PANCRAS - BEDFORD","0.0000","0.1298","Bi-directional Working","Bi-directional Lines All Platforms","","ZIAR Ref No_271896_ Interim Reference No_HZ_10414 _Notes: St Pancras Station - Sourced from Issue 1. Dated 25/3/97. of the Hazards Directory","O"
"50139139","SPC1","ST PANCRAS - BEDFORD","0.0000","144.1496","Road/Rail Noise","Beware of Noise","","ZIAR Ref No_271893_ Interim Reference No_HZ_10411 _Notes: Noise from Wind, Road Traffic and Low Flying Aircraft. Sourced from Issue 1. Dated 25/3/97. of the Hazards Directory",""
"50139059","BSC","CORBY BSC WORKS - CORBY NORTH","0.0000","0.0330","Road/Rail Noise","Beware of Noise","","ZIAR Ref No_271978_ Interim Reference No_HZ_10496 _Notes: Noise from Wind, Road Traffic and Low Flying Aircraft. Sourced from Issue 1. Dated 25/3/97. of the Hazards Directory",""
"50139060","BSC","CORBY BSC WORKS - CORBY NORTH","0.0000","0.0330","Bi-directional Working","Bi-directional Single Line Throughout","","ZIAR Ref No_271979_ Interim Reference No_HZ_10497 _Notes: Sourced from Issue 1. Dated 25/3/97. of the Hazards Directory","O"
"50116014","SPC1","ST PANCRAS - BEDFORD","0.0000","0.0000","Hazard-Structural","St Pancras <Property Ref No:- 236369000000>","","ZIAR Ref No_271749_ Interim Reference No_HZ_10267 _Notes: Details of Hazards on Site. Known to be present. ; ","O"
"50139116","SPC1","ST PANCRAS - BEDFORD","0.0000","5.1430","Hazard-Clearance","Restricted Warning Times","Unknown","ZIAR Ref No_271897_ Interim Reference No_HZ_10415 _Notes: Sourced from Issue 1. Dated 25/3/97. of the Hazards Directory","O"
"110156156","CBI","CANAL TUNNEL JUNCTION TO BELL ISLE JUNCTION","0.0000","0.1144","Isolation Required","Canal Tunnels","All/Multiple Tracks","Isolation of the Radiating Cable is required when working within 100mm proximity of the cable. This runs from Room P45 on Platform B of St Pancras Low Level Station to Belle Isle REB located ECM1 Down Slow Cess at 0m 49ch.","O"
"110156158","CBI","CANAL TUNNEL JUNCTION TO BELL ISLE JUNCTION","0.0000","0.1144","Area of Poor Radio / Mobile Signal","Canal Tunnels","All/Multiple Tracks","Poor radio signal within the Canal Tunnel bores.","O"
"110156163","CBI","CANAL TUNNEL JUNCTION TO BELL ISLE JUNCTION","0.0000","0.1034","Warning SSOW Prohibited","Canal Tunnels","All/Multiple Tracks","WARNING SSOW PROHIBITED AREA WITHIN BOTH DN/UP/ TUNNELS FROM 6011 PTS AND 6010 PTS TO THE END OF THE RRAP. THIS INCLUDES THE RAISED WAKWAYS WITHIN THE TUNNELS.","O"
"110156165","CBI","CANAL TUNNEL JUNCTION TO BELL ISLE JUNCTION","0.0000","0.0110","Buried & Overhead Electric Cable","Canal Tunnels","All/Multiple Tracks","Moorgate and Canal Tunnel""s Feeder Cables run from the Midland Road TSC Room P52 overhead across the St Pancras Box Area to the banker switches and across the ceiling to the relevant Overhead Line sections.","O"
"110163166","BSC","CORBY BSC WORKS - CORBY NORTH","0.0000","0.0220","Buried Electrical Cables","Steel Works","All/Multiple Tracks","Buried Cables in UTX under both lines","O"
"110180591","JRT1","CARLTON RD JN (TOTTENHAM LINES) - MORTIMER ST JN","0.0044","0.0088","Authorised Access Point - Road-Rail Machines","Murphys Yard South RRAP","Down Main/Fast","using w3w mash.neck.glory and grid reference TQ286855 as access into Murphy?s Yard and w3w bills.meant.tape and grid reference TQ284853 for the location of the RRAP onto the Down Tottenham line 0m 02ch0-0m 04ch","O"
"50398280","JRT1","CARLTON RD JN (TOTTENHAM LINES) - MORTIMER ST JN","0.0063","0.0063","Buried Foul Water Service","Sewer - abandoned","All/Multiple Tracks","Immediately before tunnel bore, an abandoned sewer. Details as per Thames Water plans of 07/07/00","O"
"120001667","JRT1","CARLTON RD JN (TOTTENHAM LINES) - MORTIMER ST JN","0.0077","0.0085","Invasive / Injurious Plants"," GRAFTON RD/KILN PLACE  JRT1 TUNNEL NEAR TO KENTISH TOWN CITY FARM","Up Main/Fast","","O"
"50398281","JRT1","CARLTON RD JN (TOTTENHAM LINES) - MORTIMER ST JN","0.0100","0.0150","Buried Foul Water Service","Carlton road tunnel","All/Multiple Tracks","Sewer above tunnel as per Thames Water plc plans 07/07/00","O"
"110178035","JRT1","CARLTON RD JN (TOTTENHAM LINES) - MORTIMER ST JN","0.0110","0.0150","Buried & Overhead Electric Cable","HV 25kV Cable F03/02 to F05/11A","All/Multiple Tracks","New Temporary Cable Gantry for 25kV 400sq/mm insulated cable installed as part of the OLE ATF route. Any invasive work within 1M will require HV assessment and should include any associated invasive work on SPC1 between 2m:0000 yards and 2m:0119 yards. Down & Up Tottenham","O"
"110156155","CBI","CANAL TUNNEL JUNCTION TO BELL ISLE JUNCTION","0.0132","0.1034","Gradient Greater Than 1 In 50","Canal Tunnels","All/Multiple Tracks","Tunnel Gradients: Down Canal Tunnel, Belle Isle <Slab Track> - Tunnel Low Point : 1.29. Down Canal Tunnel, Tunnel Low Point - St Pancras : 1.47. Up Canal Tunnel, Belle Isle <Slab Track> - Tunnel Low Point : 1.29. Up Canal Tunnel, Tunnel Low Point - St Pancrad : 1.34.","O"
