"Hazard ID","ELR","ELR Name","Mileage  From","Mileage To","Hazard Description","Local Name","Track","Free Text","Operational Status Code"
"120016215","HOB2","HAYDOCK BRANCH JN - ASHTON IN MAKERFIELD (ST HELENS BCH)(S4)","-0.0340","0.1200","Other Contamination","Mining Referral Layer","All/Multiple Tracks","Within Network Rail's Mining Referral area. 
Site is located in an area of known historic or current mining, and surface defects associated with mining may be present or develop over time.
If planned work includes anything which could be deemed 'qualifying construction work' under NR/L2/CIV/191/Mod 5, a Stage 1 Mining Report should be requested from Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
"120015579","SBH1","HUYTON JN - ST HELENS STN JN (HUYTON-ST HELENS LINE)(H28)","-0.0321","5.0277","Other Contamination","Mining Referral Layer","All/Multiple Tracks","Within Network Rail's Mining Referral area. 
Site is located in an area of known historic or current mining, and surface defects associated with mining may be present or develop over time.
If planned work includes anything which could be deemed 'qualifying construction work' under NR/L2/CIV/191/Mod 5, a Stage 1 Mining Report should be requested from Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
"40487807","SBH1","HUYTON JN - ST HELENS STN JN (HUYTON-ST HELENS LINE)(H28)","-0.0230","-0.0050","Restricted Clearance","HUYTON JN.","Up Main/Fast","","O"
"40576525","SBH1","HUYTON JN - ST HELENS STN JN (HUYTON-ST HELENS LINE)(H28)","-0.0132","-0.0132","Buried Electrical Cables","Hoyton Hey Road","All/Multiple Tracks","Elec. Cable laid by MANWEB. Corres. No. 3424/54 <Also DSE Asset No. 40096477>. LP 679. ","O"
"40388055","SYC","SHREWSBURY CREWE JN - CREWE STH JN","-0.0116","1.0902","25Kv Overhead Electrification","Not Applicable","","","NP"
"40458128","SYC","SHREWSBURY CREWE JN - CREWE STH JN","-0.0116","1.0971","25Kv Overhead Electrification","NOT AVAILABLE","All/Multiple Tracks","","O"
"120013581","HOB2","HAYDOCK BRANCH JN - ASHTON IN MAKERFIELD (ST HELENS BCH)(S4)","-0.0005","0.0509","Landfill Gases","Edge Green Colliery Sidings, Golborne","All/Multiple Tracks","Infill of disused railway  cutting with unknown wastes. 
Landfill gas present? Unknown 
Hazards associated with sites within 250m of known landfill include:
Hazardous gases
Leachate (hazardous liquids)
Contaminated soils 
Project sponsors shall request landfill information for all proposed construction projects (NR/L3/CIV/066 Clause 18).
Request form can be found on Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
"40387962","AEG","ALLERTON E JN - GARSTON JN (SPEKE-EDGE HILL LINE)(S25)","-0.0004","0.0590","25Kv Overhead Electrification","Not Applicable","","","NP"
"40387966","BEM","BIDSTON E JN - BRB/MDHC BDY (B'HEAD N GOODS YARD LINE)(B113)","-0.0004","0.0445","Third Rail Electrified","Not Applicable","","","NP"
"40100192","MIR1","MANN ISLAND JN - MANN ISLAND JN (LIVERPOOL LOOP LINE)(?)","0.0000","1.1705","Restricted Clearance","Mersey Loop","All/Multiple Tracks","ALL","O"
"40100216","SYC","SHREWSBURY CREWE JN - CREWE STH JN","0.0000","0.0440","Restricted Clearance","Basford Hall to Gresty Lane warehouse","","UP","NP"
"40388001","FJH","HALTON JN - FRODSHAM JN (FRODSHAM BCH)(F11)","0.0000","0.0033","25Kv Overhead Electrification","Not Applicable","","","NP"
"40388003","GSG","GRESTY LANE NO 1 - SALOP GOODS JN (SALOP LINES)","0.0000","0.0806","25Kv Overhead Electrification","Not Applicable","","","NP"
"40388030","MIR1","MANN ISLAND JN - MANN ISLAND JN (LIVERPOOL LOOP LINE)(?)","0.0000","2.0464","Third Rail Electrified","Not Applicable","","","NP"
"110180518","GSG","GRESTY LANE NO 1 - SALOP GOODS JN (SALOP LINES)","0.0000","0.0440","Buried S&T Cable","Crewelot1a","All/Multiple Tracks","Installation of nuder track crossing UTX12 including Turning Chambers <TC1 & TC2>","O"
"40460063","AHX","ALLERTON JN - HUNTS CROSS W JN (ALLERTON CONN.LINE)(A48)","0.0000","0.0827","25Kv Overhead Electrification","HUNTS CROSS CHORD","All/Multiple Tracks","ALLERTON TMD IS NOW LIVE 25KV OLE","O"
"40536200","OFF3","OFF TRACK ASSETS NWZ LIV","0.0000","0.0000","Authorised Access Point - Pedestrian","SHORE ROAD PUMPING STATION","Unknown","WOODEN STAIRCASE ACCESS ROUTE FOR MAINTENANCE OF VERTICAL SPINDLE PUMPS. <HEALTH & SAFETY ISSUE>. NEAR ELR MIR2","O"
"40538187","OFF3","OFF TRACK ASSETS NWZ LIV","0.0000","0.0000","Authorised Access Point - Pedestrian","MOORFIELDS VENTILATION SHAFT","Unknown","NEAR ELR HXS2","O"
"40538192","OFF3","OFF TRACK ASSETS NWZ LIV","0.0000","0.0000","Authorised Access Point - Pedestrian","MOORFIELDS VENTILATION SHAFT","Unknown","LOCATED ACROSS THE ROAD FROM MOORFIELDS STATUIB. ACCESS BEHIND A STANDARD 6"" 6"" X 2"" 6"" DOOR WITH RC27 KEY. SHAFT USED AS MAINTENANCE ROUTE ACCESS. NEAR ELR HXS2","O"
"40576213","LCS","EDGE HILL JN-CROWN ST GOODS(LIVERPOOL CROWN ST GDS BCH)(L19)(PART SIDINGS)","0.0000","0.0012","Buried Electrical Cables","Wavertree Road","All/Multiple Tracks","Elec cables laid by Liverpool Corp. Continues along Picton Road <also EHW asset no 40493100 and WJL4/DSE/EWG>. LP679. ","O"
"40576214","LCS","EDGE HILL JN-CROWN ST GOODS(LIVERPOOL CROWN ST GDS BCH)(L19)(PART SIDINGS)","0.0000","0.0012","Buried Gas Pipe","Wavertree Road","All/Multiple Tracks","12"" gas mains laid by NWGB. Grant of Easement: 23/6/61. MA12599. Continues along Picton Road <also DSE/EHW/WJL4/EWG>. LP679. ","O"
"40039690","FJH","HALTON JN - FRODSHAM JN (FRODSHAM BCH)(F11)","0.0000","0.0000","Buried Gas Pipe","Halton Junction","Unknown","ICI. *MILEAGE INCORRECT*. not shown on LP 668/670. ","O"
"110141886","MIR1","MANN ISLAND JN - MANN ISLAND JN (LIVERPOOL LOOP LINE)(?)","0.0000","0.0070","Gradient Greater Than 1 In 50","","All/Multiple Tracks","The Gradient at this location is 1 in 50 or greater. This MUST be considered in the planning and use of ON TRACK PLANT and HAND TROLLEYS.","O"
"110152111","SBH1","HUYTON JN - ST HELENS STN JN (HUYTON-ST HELENS LINE)(H28)","0.0000","5.0266","25Kv Overhead Electrification","HUYTON JN TO IMG CHORD","All/Multiple Tracks","ADDITION OF THE OLE INFRASTRUCTURE FOR NWEP PHASE 2B ON THE SBH1, SBH2 AND SBH3 LINES <FROM DSE LINE AT HUYTON JN TO THE IMG CHORD>","O"
"110164028","FJH","HALTON JN - FRODSHAM JN (FRODSHAM BCH)(F11)","0.0000","0.0144","Overhead Electrical Cables","HALTON CURVE OLE","Rev Single","OLE LIVE ELECTRIFICATION EQUIPMENT : OPERATIONAL 9FT RULE APPLIES. SINGLE LINE OLE RUN OFF FROM MAIN LINES.","O"
"120016386","MDH1","PENYFFORD: CONNECTING LINE TO CHESTER TO MOLD BRANCH <FORMERLY PSS1>","0.0000","0.0682","Other Contamination","Mining Referral Layer","All/Multiple Tracks","Within Network Rail's Mining Referral area. 
Site is located in an area of known historic or current mining, and surface defects associated with mining may be present or develop over time.
If planned work includes anything which could be deemed 'qualifying construction work' under NR/L2/CIV/191/Mod 5, a Stage 1 Mining Report should be requested from Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
"120016408","IMG","BAMFURLONG SDGS JN - INCE MOSS JN (BAMFURLONG SIDINGS CURVE)(B109)","0.0000","0.1337","Other Contamination","Mining Referral Layer","All/Multiple Tracks","Within Network Rail's Mining Referral area. 
Site is located in an area of known historic or current mining, and surface defects associated with mining may be present or develop over time.
If planned work includes anything which could be deemed 'qualifying construction work' under NR/L2/CIV/191/Mod 5, a Stage 1 Mining Report should be requested from Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
"120016511","NGJ","NEWTON LE WILLOWS JN - GOLBORNE JN (N.U.LINE)(N14)","0.0000","0.1164","Other Contamination","Mining Referral Layer","All/Multiple Tracks","Within Network Rail's Mining Referral area. 
Site is located in an area of known historic or current mining, and surface defects associated with mining may be present or develop over time.
If planned work includes anything which could be deemed 'qualifying construction work' under NR/L2/CIV/191/Mod 5, a Stage 1 Mining Report should be requested from Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
"40097268","AFL","SEFTON JCN - METAL BOX SIDING (AINTREE FORK LINE)(A25)","0.0003","0.0003","Buried & Overhead Electric Cable","Aintree","Unknown","Electricity cable","O"
"120014920","IMG","BAMFURLONG SDGS JN - INCE MOSS JN (BAMFURLONG SIDINGS CURVE)(B109)","0.0006","0.0732","Landfill Gases","Ince Moss Old Tip, Taylors Lane, Wigan","All/Multiple Tracks","Former railway tip on Ince Moss.  Most of the ballast has now been recovered from the site, which has been restored. 
Landfill gas present? Unknown 
Hazards associated with sites within 250m of known landfill include:
Hazardous gases
Leachate (hazardous liquids)
Contaminated soils 
Project sponsors shall request landfill information for all proposed construction projects (NR/L3/CIV/066 Clause 18).
Request form can be found on Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
