"Hazard ID","ELR","ELR Name","Mileage  From","Mileage To","Hazard Description","Local Name","Track","Free Text","Operational Status Code"
"110186891","BFO","FORMER FLYOVER JN - FENNY STRATFORD (BLETCHLEY FLYOVER JN)","0.0000","0.0960","Scrubland","BFO Cottingham Grove Embankment Nth","Down Main/Fast","BFO Down  Lineside Scrubland at various locations for Biodiversity Net Gain <BNG>. Any works in this Area will be in Accordance with the Environmental Management Plans and overseen by the NR local Ecologist.","O"
"110186892","BFO","FORMER FLYOVER JN - FENNY STRATFORD (BLETCHLEY FLYOVER JN)","0.0000","1.0045","Woodland","Bletchley BFO West","Down Main/Fast","BFO Down Woodland - Biodiversity Net Gain - Vegetation to be Managed, as per agreed NR Management Plan or with approval of NR Ecolgist. ","O"
"50138602","RTS","RUGBY - LEAMINGTON (PART CLOSED)","0.0000","0.1144","Bi-directional Working","Bi-directional Single Line Throughout","","ZIAR Ref No_272586_ Interim Reference No_HZ_11104 _Notes: Sourced from Issue 1. Dated 25/3/97. of the Hazards Directory","O"
"110187832","BFO","FORMER FLYOVER JN - FENNY STRATFORD (BLETCHLEY FLYOVER JN)","0.0000","0.0882","Authorised Walking Route","BLETCHLEY WEST JNT TTS","Up Main/Fast","Trough-Tec Systems Walkway","O"
"110183813","BFO","FORMER FLYOVER JN - FENNY STRATFORD (BLETCHLEY FLYOVER JN)","0.0000","0.0086","Differential Speeds","UP BLETCHLEY","Up Main/Fast","Differential Speed area - Start at BFOUB0004U01&02 & finish at 0 MP<BFO>","O"
"110187395","BFO","FORMER FLYOVER JN - FENNY STRATFORD (BLETCHLEY FLYOVER JN)","0.0000","1.0506","Buried Telecommunication Cables","Bletchley BFO Line","All/Multiple Tracks","Telecoms cables located within the Troughing along the BFO line. These cables MUST be identified first before any works are carried out","O"
"120012461","BDN","BRIDGE ST - DUSTON NORTH","0.0063","0.0395","Landfill Gases","St.James,Mill Road, Northhampton","All/Multiple Tracks","Soil and rubble tipped. 
Landfill gas present? Unknown 
Hazards associated with sites within 250m of known landfill include:
Hazardous gases
Leachate (hazardous liquids)
Contaminated soils 
Project sponsors shall request landfill information for all proposed construction projects (NR/L3/CIV/066 Clause 18).
Request form can be found on Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
"110186893","BFO","FORMER FLYOVER JN - FENNY STRATFORD (BLETCHLEY FLYOVER JN)","0.0087","0.0960","Grassland","BFO Cottingham Grove Embankment Sth","Up Main/Fast","BFO Up Lineside Grassland for Biodiversity Net Gain <BNG>. Any works in this Area will be in Accordance with the Environmental Management Plans and overseen by the NR local Ecologist.","O"
"110186894","BFO","FORMER FLYOVER JN - FENNY STRATFORD (BLETCHLEY FLYOVER JN)","0.0087","0.0960","Grassland","BFO Cottingham Grove Embankment Nth","Down Main/Fast","BFO Down Lineside Grassland for Biodiversity Net Gain <BNG>. Any works in this Area will be in Accordance with the Environmental Management Plans and overseen by the NR local Ecologist.","O"
"110186895","BFO","FORMER FLYOVER JN - FENNY STRATFORD (BLETCHLEY FLYOVER JN)","0.0087","0.0845","Grassland","BFO Cottingham Grove Embankment Sth","Up Main/Fast","BFO Up Lineside Grassland for Biodiversity Net Gain <BNG>. Any works in this Area will be in Accordance with the Environmental Management Plans and overseen by the NR local Ecologist.","O"
"110186896","BFO","FORMER FLYOVER JN - FENNY STRATFORD (BLETCHLEY FLYOVER JN)","0.0087","0.0560","Grassland","BFO_EC001","Up Main/Fast","Grassland within BFO_EC001 Environmental Compensation Area for Biodiversity Net Gain <BNG>. Any works in this Area will be in Accordance with the Environmental Management Plans and overseen by the NR local Ecologist.","O"
"110186897","BFO","FORMER FLYOVER JN - FENNY STRATFORD (BLETCHLEY FLYOVER JN)","0.0160","0.0247","Hedgerow","West Bletchley - BFO_EC001","All/Multiple Tracks","Hedgerow within BFO_EC001 Environmental Compensation Area for Biodiversity Net Gain <BNG>. Any works in this Area will be in Accordance with the Environmental Management Plans and overseen by the NR local Ecologist.","O"
"110187833","BFO","FORMER FLYOVER JN - FENNY STRATFORD (BLETCHLEY FLYOVER JN)","0.0162","0.0865","Authorised Walking Route","BLETCHLEY WEST JNT TTS","Down Main/Fast","Trough-Tec Systems Walkway","O"
"110186898","BFO","FORMER FLYOVER JN - FENNY STRATFORD (BLETCHLEY FLYOVER JN)","0.0170","0.0840","Grassland","BFO Blue Lagoon Park Embankment Sth","Up Main/Fast","BFO Up Lineside Grassland for Biodiversity Net Gain <BNG>. Any works in this Area will be in Accordance with the Environmental Management Plans and overseen by the NR local Ecologist.","O"
