"Hazard ID","ELR","ELR Name","Mileage  From","Mileage To","Hazard Description","Local Name","Track","Free Text","Operational Status Code"
"30109105","TLA","STANSTED AIRPORT LINK (THIRD LONDON AIRPORT)","0.0000","37.0020","Bi-directional Working","Stansted Airport","","Status =In Use. Safety Validated =Not Available.","O"
"30109107","ENT","BURY STREET JN TO ENFIELD TOWN","0.0000","10.1210","Bi-directional Working","Enfield Town","","Status =In Use. Safety Validated =Not Available.","O"
"30109108","CJC","CLAPTON JNC - CHINGFORD","0.0000","10.0726","Bi-directional Working","Chingford","Down Main/Fast","Status =In Use. Safety Validated =Not Available.","O"
"30109109","CJC","CLAPTON JNC - CHINGFORD","0.0000","10.0726","Bi-directional Working","Chingford - All Sidings","Rev Crossover","Status =In Use. Safety Validated =Not Available.","O"
"30109111","SSL","SEVEN SISTERS LOOP","0.0000","0.0286","Bi-directional Working","South Tottenham to Seven Sisters","Rev Main/Fast","Status =In Use. Safety Validated =Not Available.","O"
"30109117","HDT","HACKNEY DOWNS N JN TO CHESHUNT JN VIA SOUTHBURY","0.0000","0.0000","Restricted Clearance","Stoke Newington","Down Main/Fast","Station Area. Status =In Use. Safety Validated =Not Available.","O"
"30112799","EWC","ELY WEST CURVE","0.0000","0.1100","Buried Multi-Product Pipe","NP","All/Multiple Tracks","All Tracks: Owner Unknown.Wayleave Ref Unknown:RTP Unknown","O"
"30109077","KGC","KENSAL GREEN JN - WILLESDEN (CITY LINES)","0.0000","0.0418","Hazard Associated With Drain","NP","All/Multiple Tracks","All Tracks: Owner Unknown.Wayleave Ref Unknown:RTP 223/245","O"
"30109110","GRE","GRAHAM ROAD CURVE","0.0000","0.0000","Bi-directional Working","Graham Road Curve","Rev Main/Fast","Status =In Use. Safety Validated =Not Available.","O"
"30111451","SSL","SEVEN SISTERS LOOP","0.0000","0.0000","Buried Foul Water Service","NP","","All Tracks: 5 manholes, 1.5 chains after Bridge 2012: Owner Tottenham Corporation.Wayleave Ref Unknown:RTP 261","O"
"30112902","BOK4","WILLESDEN HIGH LEVEL JN - ACTON WELLS JN","0.0000","0.0000","Buried Multi-Product Pipe","NP","All/Multiple Tracks","All Tracks: Owner Unknown.Wayleave Ref Unknown:RTP 164","O"
"30112798","EWC","ELY WEST CURVE","0.0000","0.1056","Buried Multi-Product Pipe","NP","All/Multiple Tracks","All Tracks: Owner Unknown.Wayleave Ref Unknown:RTP Unknown","O"
"30324884","SSL","SEVEN SISTERS LOOP","0.0000","0.0286","25Kv Overhead Electrification","","All/Multiple Tracks","","O"
"110142668","BOK2","CAMDEN RD JN - KENSAL GREEN JN","0.0000","0.1342","Warning SSOW Prohibited","CAMDEN ROAD JUNCTION TO GOSPEL OAK","All/Multiple Tracks","No Position of Safety.","O"
"30329516","BOK2","CAMDEN RD JN - KENSAL GREEN JN","0.0000","0.1342","Warning SSOW Prohibited","KENTISH TOWN WEST STATION","All/Multiple Tracks","No Position of Safety.","O"
"30109104","TLA","STANSTED AIRPORT LINK (THIRD LONDON AIRPORT)","0.0000","0.0000","Bi-directional Working","Stansted Airport","Up Main/Fast","Status =In Use. Safety Validated =Not Available.","O"
"110150366","EWC","ELY WEST CURVE","0.0000","1.0000","Bi-directional Working","ELY WEST CURVE","Rev Main/Fast","Bi Directional working being brought into use on the Ely West Curve <00ch to 01m 00ch>",""
"110164372","CHM","CHANNELSEA NORTH HIGH MEADS","0.0000","0.0220","Invasive / Injurious Plants","STRATFORD TRIANGLE","Down Main/Fast","JAPANESE KNOTWOOD","O"
"110164027","LLS2","LEA JN - HIGH MEADS JN","0.0000","0.0220","Invasive / Injurious Plants","TRIANGLE","Down Main/Fast","JAPANESE KNOTWOOD","O"
"30109130","DEL","DELETED RECORDS","0.0000","0.0000","Authorised Access Point","Channelsea North Jcn.","","Status =In Use. Safety Validated =Yes.","R"
"30324874","LLS2","LEA JN - HIGH MEADS JN","0.0002","0.0308","25Kv Overhead Electrification","","All/Multiple Tracks","","O"
"30110254","BOK4","WILLESDEN HIGH LEVEL JN - ACTON WELLS JN","0.0007","0.0007","Authorised Access Point","Willesden High Level Jcn.","Up Main/Fast","Status =In Use. Safety Validated =Not Available.","O"
"110151315","ELL1","DALSTON - NEW CROSS GATE","0.0018","0.0051","Noise Abatement Zone","EAST LONDON LINE 1","All/Multiple Tracks","Noise Abatement Zone - Noise to be kept to a minimum due to proximity of residential properties","O"
"110151527","ELL1","DALSTON - NEW CROSS GATE","0.0018","1.0051","Noise Abatement Zone","Dalston Western Curve","All/Multiple Tracks","Noise to be kept to a minimum due to proximity of residential properties","O"
"110151529","ELL1","DALSTON - NEW CROSS GATE","0.0018","5.1610","Third Rail Electrified","Up & Dn East London Line","All/Multiple Tracks","Third Rail Electrified - Third rail present in all areas","O"
"110151530","ELL1","DALSTON - NEW CROSS GATE","0.0018","5.1610","Warning SSOW Prohibited","Up & Dn East London Line","All/Multiple Tracks","Equipment or Lookout Safe Systems of Work shall only be used if all the conditions below are satisfied:~
1.  Work shall be more than 1.25m from the nearest open line and all personnel shall be at least 1.25m from the nearest open line at all times~
2.  Personnel shall be in possession of a certificate of competence in personal track safety approved by RfL in accordance with LO-MS-102-02-0001 Access to the Railway.~
3.  Trains shall be travelling no faster than 40mph~
4.  Work shall stop as a train passes~
5.  Work shall only take place during daylight with clear visibility - Restricted sighting and limited places of safety.~
The condition allows working on the CESS path and beyond while trains are running.  This will primarily apply to the Kingsland Viaduct and areas south of Surrey Quays station.","O"
"110151531","ELL1","DALSTON - NEW CROSS GATE","0.0018","5.1610","Smoking Prohibited","Up & Dn East London Line","All/Multiple Tracks","Smoking Prohibited - Smoking is not permitted on part of the East London Railway, including stations, depots, all buildings and any other land owned by London Overground","O"
"110151528","DEL","DELETED RECORDS","0.0018","0.0051","Authorised Access Point - Pedestrian","Dalston Kingsland station access point","All/Multiple Tracks","Authorised Access Point - Pedestrian - Access via Dalston Kingsland station Up platform/Up cess to Kingsland TSS. Can be used during station open hours only.","R"
"110151533","ELL1","DALSTON - NEW CROSS GATE","0.0035","0.0076","Restricted Clearance","Dalston Western Curve","Down Main/Fast","Restricted clearance- Restricted clearance adjacent to TSS palisade fencing Down cess","O"
