"Hazard ID","ELR","ELR Name","Mileage  From","Mileage To","Hazard Description","Local Name","Track","Free Text","Operational Status Code"
"70100329","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.0880","Conservation Area","Victoria <Pimlico CA>","","Victoria. Area adjoins south-east side of railway between Eccleston Bridge and Alderney Street, SW1. Planning Authority: Westminster City. Same asset is listed on VTB1, EBW line as asset is on both lines","NV"
"70116123","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.0000","Listed Building","Victoria East","","Eastern part of railway station. inc. train shed., Wilton Road, SW1. ID NO: 512. Planning Authority: Westminster City APM Area: Kent","O"
"70116124","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.0000","Listed Building","Victoria East","","Grosvenor Hotel, No. 101 Buckingham Palace Road, SW1. ID NO: 497Status: Let. Planning Authority: Westminster City APM Area: Kent","O"
"70116125","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.0000","Listed Building","Victoria East","","British Airways Terminal Building, Buckingham Palace Road, SW1 ID NO: 496Status: Let. Planning Authority: Westminster City APM Area: Kent","O"
"70314094","SMS1","STREATHAM SOUTH JN - WIMBLEDON ""A"" JN","0.0000","3.0110","Buried Electrical Cables","START OF ELR TO END OF ELR","Down Main/Fast","","O"
"70314095","SMS1","STREATHAM SOUTH JN - WIMBLEDON ""A"" JN","0.0000","3.0110","Buried Electrical Cables","START OF ELR TO END OF ELR","Down Main/Fast","","O"
"70316597","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.0226","Warning SSOW Prohibited","London Victoria Station Platform 4","","WALKING AND WARNING SSOW WORKING PROHIBITED","O"
"70316598","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.0308","Warning SSOW Prohibited","London Victoria Station Platform 5","","WALKING AND WARNING SSOW WORKING PROHIBITED","O"
"70316599","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.0308","Warning SSOW Prohibited","London Victoria Station Platform 6","","WALKING AND WARNING SSOW WORKING PROHIBITED","O"
"70316600","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.0352","Warning SSOW Prohibited","London Victoria Station Platform 7","","WALKING AND WARNING SSOW WORKING PROHIBITED","O"
"110070070","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.1254","Hazard-Working Practices","Victoria East","All/Multiple Tracks","Warning lights - Warning light is alight when no train approaching. Staff to be advised that use of the warning lights may not provide sufficient warning time for staff to reach a place of safety. PICOW must check warning time before allowing work to co","NV"
"110070071","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","1.0913","Confined Spaces Requirement","Victoria East","All/Multiple Tracks","","NV"
"110070072","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.0880","Bi-directional Working","Victoria East","All/Multiple Tracks","","NV"
"110070233","VTB2","WINDMILL BRIDGE JN - EARLSWOOD JN VIA QUARRY LINE (END OF VIA Q.L.MILEAGE)","0.0000","0.0000","Restricted Clearance","Quarry Line","All/Multiple Tracks","","NV"
"110070710","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.0000","Bi-directional Working","Chatham","All/Multiple Tracks","","NV"
"110070722","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.0000","Hazard-Working Practices","Bickley Junction","All/Multiple Tracks","Limited Sighting, 4 lines","NV"
"110070740","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.0880","Hazard-Working Practices","Victoria East","All/Multiple Tracks","Warning lights - Warning light is alight when no train approaching. Staff to be advised that use of the warning lights may not provide sufficient warning time for staff to reach a place of safety. PICOW must check warning time before allowing work to co","NV"
"110071005","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.0000","Confined Spaces Requirement","Victoria East","All/Multiple Tracks","","NV"
"110071006","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.0000","Confined Spaces Requirement","Victoria East","All/Multiple Tracks","","NV"
"110071007","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","1.0913","Confined Spaces Requirement","Victoria East","All/Multiple Tracks","","NV"
"110072067","WLL","FALCON JN (CLAPHAM CTL)<SR> - WILLESDEN W LONDON JN <LM>(WEST LONDON LINE)","0.0000","0.0000","CIMAH Site","Fulham Gas Holder Station","All/Multiple Tracks","The potential hazard zone has been determined as 170 metres radius from the PRS and 185 metres radius from the gas holders. - * Multiple Contamination Site~ ~ Map Reference~ 53 Db 103 Fire~ 44 BS 66 Police and Ambulance~ ~ The West London Line runs immedi","NV"
"110072078","VIR","VICTORIA(EASTERN LINES) - RAMSGATE (VIA HERNE HILL & CHATHAM)","0.0000","0.0000","Electrification","Faversham / Sittingbourne / Rochester / Gillingham","All/Multiple Tracks","This signal has no protective boarding fitted. Conductor rail shields to be used when working or attending this signal.","NV"
"110072098","WLL","FALCON JN (CLAPHAM CTL)<SR> - WILLESDEN W LONDON JN <LM>(WEST LONDON LINE)","0.0000","5.1386","Hazard-Working Practices","Falcon Road Jn - Mitre Bridge Jn","All/Multiple Tracks","Patrolmans Lockout System - Persons other than Patrolmen must not use this system. The PICOW to arrange a safe system of work in accordance with the rules and regulations.","O"
