"Hazard ID","ELR","ELR Name","Mileage  From","Mileage To","Hazard Description","Local Name","Track","Free Text","Operational Status Code"
"70014538","IOW","RYDE PIER HEAD - SHANKLIN (ISLE OF WIGHT)","0.0000","0.0000","Authorised Access Point - Vehicle","Ryde Pier","","","O"
"70318125","IOW","RYDE PIER HEAD - SHANKLIN (ISLE OF WIGHT)","0.0000","0.1000","Site of Special Scientific Interest (SSSI)","Ryde Sands and Wootton Creek","All/Multiple Tracks","Site management statement available","NP"
"70248729","DEL","DELETED RECORDS","0.0000","0.0137","Warning SSOW Prohibited","Ryde Pier Head  PLATFORM 2","","Deleted on 18/02/22 as per SSM request HB13920.","O"
"120000909","YJP","YEOVIL PEN MILL JUNCTION - YEOVIL JUNCTION","0.0004","0.0016","Sensitive Site","Yeovil Junction Railway Nature Site (RNS)","All/Multiple Tracks","Protected site. See Sustainability Hub for details. For further guidance contact an Ecologist, Environment Specialist or southernsustainability@networkrail.co.uk","O"
"70248728","IOW","RYDE PIER HEAD - SHANKLIN (ISLE OF WIGHT)","0.0009","0.0137","Warning SSOW Prohibited","Ryde Pier Head  PLATFORM 1",""," ","O"
"110171234","YJP","YEOVIL PEN MILL JUNCTION - YEOVIL JUNCTION","0.0011","1.0946","Warning SSOW Prohibited","Yeovil Pen Mill to Yeovil Junction Branch","All/Multiple Tracks","THIS LOCATION HAS BEEN IDENTIFIED THROUGH THE TRACK WORKER SAFETY PROGRAMME AS ONE IN WHICH SUFFICIENT GREEN SPACE ACCESS IS AVAILABLE THROUGHOUT THE DAY AND THEREFORE WARNING SSOW WORKING IS TO BE PROHIBITED AT THIS LOCATION.",""
"70265776","IOW","RYDE PIER HEAD - SHANKLIN (ISLE OF WIGHT)","0.0069","0.0069","Asbestos Hazard","Ryde Pier Head asbestos hazard","All/Multiple Tracks","RYDE PIER HEAD Asbestos Hazard. Please refer to asbestos register","NP"
"70119523","YJP","YEOVIL PEN MILL JUNCTION - YEOVIL JUNCTION","0.0132","0.0132","Authorised Access Point - Pedestrian","YEOVIL JCN UP YARD PED","","Via station car park and sidings to PW YardRisk Rating 10,Hazard Rating 5,Score 50,Steps No.","O"
"110176832","IOW","RYDE PIER HEAD - SHANKLIN (ISLE OF WIGHT)","0.0132","0.0726","Warning SSOW Prohibited","Ryde Pier Head No.1 Road","All/Multiple Tracks","WARNING SSOW WORKING PROHIBITED - RYDE PIER HEAD NO.1 ROAD.","O"
"110159126","YJP","YEOVIL PEN MILL JUNCTION - YEOVIL JUNCTION","0.0198","0.0198","Authorised Access Point - Vehicle","YEOVIL JCN UP YARD VEH",""," ","O"
