elr,mileage_raw,mileage_ch,mileage_decimal,type,name,easting,northing,latitude,longitude
AAV,30.0572,30m 26ch,30.0572,Authorised Access Point '-' Pedestrian,Windlesham TP Hut,491973.0,166437.0,51.38902,-0.67804
AAV,30.0572,30m 26ch,30.0572,Authorised Access Point '-' Pedestrian,SWINLEY FOREST <GOLF CLUB>,491970.0,166451.0,51.38914,-0.67808
AAV,31.1166,31m 53ch,31.1166,Authorised Access Point '-' Pedestrian,BAGSHOT GARDEN CENTER  DOWN,491563.0,164337.0,51.3702,-0.68447
AAV,32.0066,32m 03ch,32.0066,Authorised Access Point '-' Road'-'Rail Machines,Bagshot RRV Access,491429.0,163745.0,51.3649,-0.68655
AAV,32.0104,32m 05ch,32.0104,Authorised Access Point '-' Vehicle,Bagshot Station Car Park,491419.0,163709.0,51.36458,-0.6867
AAV,32.0189,32m 09ch,32.0189,Authorised Access Point '-' Pedestrian,BAGSHOT PLATFORM 1,491402.0,163633.0,51.3639,-0.68697
AAV,32.0506,32m 23ch,32.0506,Authorised Access Point '-' Pedestrian,Guildford Road Viaduct <Bagshot>,491334.0,163322.0,51.36111,-0.68802
AAV,33.0924,33m 42ch,33.0924,Authorised Access Point '-' Pedestrian,JOLLY FARMER <UP SIDE> BAGSHOT END,490015.0,162088.0,51.35023,-0.70728
AAV,33.0990,33m 45ch,33.099,Authorised Access Point '-' Pedestrian,JOLLY FARMER <UP SIDE> CAMBERLEY END,490009.0,162072.0,51.35009,-0.70737
AAV,33.1122,33m 51ch,33.1122,Authorised Access Point '-' Pedestrian,JOLLY FARMER <DN SIDE> TP HUT,489896.0,161982.0,51.3493,-0.70901
AAV,34.0198,34m 09ch,34.0198,Authorised Access Point '-' Pedestrian,Gibbett Lane bridge 13,489296.0,161480.0,51.34488,-0.71775
AAV,34.1459,34m 66ch,34.1459,Authorised Access Point '-' Pedestrian,Middleton Rd <Upper Park Road> Bridge 14,488377.0,160817.0,51.33906,-0.73111
AAV,35.0598,35m 27ch,35.0598,Authorised Access Point '-' Vehicle,Camberley Substation,487633.0,160460.0,51.33597,-0.74188
AAV,35.0598,35m 27ch,35.0598,Authorised Access Point '-' Pedestrian,Camberley Station Lxing,487633.0,160460.0,51.33597,-0.74188
AAV,35.0742,35m 34ch,35.0742,Authorised Access Point '-' Pedestrian,Camberley Station Platform 1,487515.0,160401.0,51.33545,-0.74358
AAV,36.0170,36m 08ch,36.017,Authorised Access Point '-' Pedestrian,York Road <A321> bridge 16,486778.0,159616.0,51.32851,-0.75435
AAV,36.0814,36m 37ch,36.0814,Authorised Access Point '-' Pedestrian,Watchmore Park Riverside Way,486449.0,159126.0,51.32415,-0.75919
