id,abbreviation,full_name,elr,lor,mileage_from_ch,mileage_to_ch,source_doc,source_page,loaded_at
29807,UTM,Up Temple Mills,BDM,EA1010,228.0,234.0,Anglia - March 2026 Sectional Appendix.pdf,113,2026-04-28T02:35:57.193400
29808,DTM,Down Temple Mills,BDM,EA1010,228.0,234.0,Anglia - March 2026 Sectional Appendix.pdf,113,2026-04-28T02:35:57.193400
29809,UTM,Up Temple Mills,LTN1,EA1010,267.0,270.0,Anglia - March 2026 Sectional Appendix.pdf,114,2026-04-28T02:35:57.347111
29810,DTM,Down Temple Mills,LTN1,EA1010,267.0,270.0,Anglia - March 2026 Sectional Appendix.pdf,114,2026-04-28T02:35:57.347111
29811,DE,Down Electric,LTN1,EA1010,267.0,270.0,Anglia - March 2026 Sectional Appendix.pdf,114,2026-04-28T02:35:57.347111
29812,UTM,Up Temple Mills,CNS,EA1010,294.0,294.0,Anglia - March 2026 Sectional Appendix.pdf,115,2026-04-28T02:35:57.472069
29813,DTM,Down Temple Mills,CNS,EA1010,294.0,294.0,Anglia - March 2026 Sectional Appendix.pdf,115,2026-04-28T02:35:57.472069
29814,UE,Up Electric,CNS,EA1010,294.0,294.0,Anglia - March 2026 Sectional Appendix.pdf,115,2026-04-28T02:35:57.472069
29815,DE,Down Electric,CNS,EA1010,294.0,294.0,Anglia - March 2026 Sectional Appendix.pdf,115,2026-04-28T02:35:57.472069
29816,30,Up direction & 50 Down direction,LTN1,EA1010,359.0,359.0,Anglia - March 2026 Sectional Appendix.pdf,117,2026-04-28T02:35:57.705867
29817,50,Up direction & 40 Down direction,LTN1,EA1010,359.0,359.0,Anglia - March 2026 Sectional Appendix.pdf,117,2026-04-28T02:35:57.705867
29818,25,Up direction,LTN1,EA1011,,,Anglia - March 2026 Sectional Appendix.pdf,128,2026-04-28T02:35:58.885310
29819,25,Down direction,LTN1,EA1011,,,Anglia - March 2026 Sectional Appendix.pdf,128,2026-04-28T02:35:58.885310
29820,25,Up direction,LTN1,EA1011,,,Anglia - March 2026 Sectional Appendix.pdf,128,2026-04-28T02:35:58.885310
29821,15,Down direction,LTN1,EA1011,,,Anglia - March 2026 Sectional Appendix.pdf,128,2026-04-28T02:35:58.885310
29822,USD,Up Southend,LTN1,EA1011,,,Anglia - March 2026 Sectional Appendix.pdf,130,2026-04-28T02:35:59.132439
29823,DSO,Down Southend,SSV,EA1011,1616.0,1630.0,Anglia - March 2026 Sectional Appendix.pdf,131,2026-04-28T02:35:59.235625
29824,SOL,Southend loop,SSV,EA1011,1616.0,1630.0,Anglia - March 2026 Sectional Appendix.pdf,131,2026-04-28T02:35:59.235625
29825,UM,Up Main,LTN1,EA1011,2430.0,2625.0,Anglia - March 2026 Sectional Appendix.pdf,134,2026-04-28T02:35:59.436610
29826,OM,Down Main,LTN1,EA1011,2430.0,2625.0,Anglia - March 2026 Sectional Appendix.pdf,134,2026-04-28T02:35:59.436610
29827,UM,Up Main,LTN1,EA1011,2646.0,2874.0,Anglia - March 2026 Sectional Appendix.pdf,135,2026-04-28T02:35:59.543576
29828,OM,Down Main,LTN1,EA1011,2646.0,2874.0,Anglia - March 2026 Sectional Appendix.pdf,135,2026-04-28T02:35:59.543576
29829,DM,Down Main,BRA,EA1011,3087.0,3095.0,Anglia - March 2026 Sectional Appendix.pdf,136,2026-04-28T02:35:59.577217
29830,UM,Up Main,BRA,EA1011,3087.0,3095.0,Anglia - March 2026 Sectional Appendix.pdf,136,2026-04-28T02:35:59.577217
29831,DPL,Down Passenger Loop,BRA,EA1011,3087.0,3095.0,Anglia - March 2026 Sectional Appendix.pdf,136,2026-04-28T02:35:59.577217
29832,UPL,Up Passenger Loop,BRA,EA1011,3087.0,3095.0,Anglia - March 2026 Sectional Appendix.pdf,136,2026-04-28T02:35:59.577217
29833,UM,Up Main,LTN1,EA1011,3337.0,3610.0,Anglia - March 2026 Sectional Appendix.pdf,137,2026-04-28T02:35:59.687437
29834,DM,Down Main,LTN1,EA1011,3337.0,3610.0,Anglia - March 2026 Sectional Appendix.pdf,137,2026-04-28T02:35:59.687437
29835,UPL,Up Passenger Loop,LTN1,EA1011,3337.0,3610.0,Anglia - March 2026 Sectional Appendix.pdf,137,2026-04-28T02:35:59.687437
29836,DPL,Down Passenger Loop,LTN1,EA1011,3337.0,3610.0,Anglia - March 2026 Sectional Appendix.pdf,137,2026-04-28T02:35:59.687437
29837,UM,Up Main,SUD,EA1011,3686.0,3961.0,Anglia - March 2026 Sectional Appendix.pdf,138,2026-04-28T02:35:59.740649
29838,OM,Down Main,SUD,EA1011,3686.0,3961.0,Anglia - March 2026 Sectional Appendix.pdf,138,2026-04-28T02:35:59.740649
29839,UM,Up Main,LTN1,EA1011,4112.0,4112.0,Anglia - March 2026 Sectional Appendix.pdf,139,2026-04-28T02:35:59.775506
29840,UM,Up Main,NTE,EA1011,4480.0,4789.0,Anglia - March 2026 Sectional Appendix.pdf,141,2026-04-28T02:35:59.955568
29841,OM,Down Main,NTE,EA1011,4480.0,4789.0,Anglia - March 2026 Sectional Appendix.pdf,141,2026-04-28T02:35:59.955568
29842,UH,Up Harwich,NTE,EA1011,4480.0,4789.0,Anglia - March 2026 Sectional Appendix.pdf,141,2026-04-28T02:35:59.955568
29843,OH,Down Harwich,NTE,EA1011,4480.0,4789.0,Anglia - March 2026 Sectional Appendix.pdf,141,2026-04-28T02:35:59.955568
29844,UM,Up Main,GRW,EA1011,5047.0,5499.0,Anglia - March 2026 Sectional Appendix.pdf,142,2026-04-28T02:36:00.078032
29845,DM,Down Main,GRW,EA1011,5047.0,5499.0,Anglia - March 2026 Sectional Appendix.pdf,142,2026-04-28T02:36:00.078032
29846,ULD,Up Lowestoft Down,GRW,EA1011,5047.0,5499.0,Anglia - March 2026 Sectional Appendix.pdf,142,2026-04-28T02:36:00.078032
29847,UC,Up Bacon Factory Curve,BFC,EA1012,5637.0,6330.0,Anglia - March 2026 Sectional Appendix.pdf,144,2026-04-28T02:36:00.232848
