id,signal_box_name,signal_prefix,workstation_name,signalling_method,eco_name,eco_type,elr,lor,mileage_from_raw,mileage_from_ch,mileage_to_raw,mileage_to_ch,source_doc,source_page,loaded_at
15854,Liverpool St IECC,L,,TCB,Romford,AC,LVS,EA1010,0m 00ch,0,0m 27ch,27,Anglia - March 2026 Sectional Appendix.pdf,109,2026-04-28T02:35:56.725324
15855,Liverpool St IECC,L,,TCB,Romford,AC,LTN1,EA1010,0m 40ch,40,0m 62ch,62,Anglia - March 2026 Sectional Appendix.pdf,110,2026-04-28T02:35:56.828945
15856,Liverpool St IECC,L,,TCB,Romford,AC,BGK,EA1010,1m 10ch,90,1m 14ch,94,Anglia - March 2026 Sectional Appendix.pdf,111,2026-04-28T02:35:56.972540
15857,Liverpool St IECC,L,,TCB,Romford,AC,LTN1,EA1010,2m 02ch,162,2m 02ch,162,Anglia - March 2026 Sectional Appendix.pdf,112,2026-04-28T02:35:57.078376
15858,Liverpool St IECC,L,,TCB,Romford,AC,BDM,EA1010,2m 68ch,228,2m 74ch,234,Anglia - March 2026 Sectional Appendix.pdf,113,2026-04-28T02:35:57.193400
15859,C B Liverpoo l S t t E C C ( L ),,,T,,,LTN1,EA1010,3m 27ch,267,3m 30ch,270,Anglia - March 2026 Sectional Appendix.pdf,114,2026-04-28T02:35:57.347111
15860,Liverpool St IECC,L,,TCB,,,CNS,EA1010,3m 54ch,294,3m 54ch,294,Anglia - March 2026 Sectional Appendix.pdf,115,2026-04-28T02:35:57.472069
15861,Liverpool St IECC,L,,TCB,Romford,AC,SDS,EA1010,3m 70ch,310,4m 03ch,323,Anglia - March 2026 Sectional Appendix.pdf,116,2026-04-28T02:35:57.593902
15862,Liverpool St IECC,L,,TCB,,,LTN1,EA1010,4m 39ch,359,4m 39ch,359,Anglia - March 2026 Sectional Appendix.pdf,117,2026-04-28T02:35:57.705867
15863,Liverpool St IECC,L,,TCB,Romford,AC,LTN1,EA1010,4m 56ch,376,4m 56ch,376,Anglia - March 2026 Sectional Appendix.pdf,118,2026-04-28T02:35:57.746917
