elr,mileage_from_ch,mileage_to_ch,diagram_doc,diagram_page
ABE1,259,8812,IMDM Derby.pdf,5
ABW,9223,9390,Thames Valley Track Diagrams.pdf,108
ABW,9223,9390,Western Route 2025.pdf,271
ACDA,34,8795,IMDM Derby.pdf,1
ACDA,34,8795,IMDM Derby.pdf,4
ACDA,34,8795,IMDM Doncaster.pdf,1
ACDA,34,8795,IMDM Doncaster.pdf,4
AFR,9416,9449,Western Route 2025.pdf,349
AFR,9215,9289,Western Route 2025.pdf,350
AFR,8972,9054,Western Route 2025.pdf,351
AGY,10,12835,IMDM Sheffield.pdf,890
AJM1,10900,11021,IMDM Derby.pdf,4
AJM1,11219,11219,IMDM Derby.pdf,214
AJM1,11453,11579,IMDM Derby.pdf,581
AJM1,10940,11090,IMDM Derby.pdf,907
AMB,1032,1032,Western Route 2025.pdf,343
AMB,1164,9515,Western Route 2025.pdf,344
AML,9620,9767,IMDM Derby.pdf,753
ANL,806,822,Thames Valley Track Diagrams.pdf,59
ANL,822,822,Thames Valley Track Diagrams.pdf,60
ANL,822,822,Thames Valley Track Diagrams.pdf,64
ANL,806,822,Western Route 2025.pdf,189
ANL,822,822,Western Route 2025.pdf,190
ANL,822,822,Western Route 2025.pdf,194
APRI,1152,1320,WALES Feb 26.pdf,258
BAC2,11805,11990,IMDM Derby.pdf,752
BAE2,13705,13756,Western Route 2025.pdf,444
BAE2,13656,13687,Western Route 2025.pdf,445
BAE2,13510,13618,Western Route 2025.pdf,446
BAE2,13380,13500,Western Route 2025.pdf,447
BAE2,12800,13365,Western Route 2025.pdf,448
BAE2,12668,12668,Western Route 2025.pdf,450
BAE2,12635,12655,Western Route 2025.pdf,451
BAE2,12369,12397,Western Route 2025.pdf,452
BAG2,6935,7104,Western Route 2025.pdf,365
BAG2,6853,6853,Western Route 2025.pdf,366
BAG2,6602,6786,Western Route 2025.pdf,367
BAG2,6379,6403,Western Route 2025.pdf,368
BAG2,6200,6338,Western Route 2025.pdf,369
BAG2,6108,6183,Western Route 2025.pdf,370
BAG2,5949,5991,Western Route 2025.pdf,371
BAG2,5700,5825,Western Route 2025.pdf,372
BAG2,5509,5583,Western Route 2025.pdf,373
BAG2,5295,5447,Western Route 2025.pdf,374
BAG2,5059,5240,Western Route 2025.pdf,375
BAG2,5014,5030,Western Route 2025.pdf,376
BAG2,4697,4808,Western Route 2025.pdf,377
BAG2,4621,10408,Western Route 2025.pdf,378
BAG2,4454,4514,Western Route 2025.pdf,379
BAG2,4371,4394,Western Route 2025.pdf,380
BAG2,7422,9101,Western Route 2025.pdf,410
BAH2,3883,4038,IMDM Sheffield.pdf,27
BAH2,3800,3866,IMDM Sheffield.pdf,427
BAL,254,257,WALES Feb 26.pdf,221
BAL,0,227,WALES Feb 26.pdf,222
BAL,191,191,WALES Feb 26.pdf,223
BAL,51,51,WALES Feb 26.pdf,225
BAR,8474,8576,IMDM Sheffield.pdf,1
BAR,8648,8648,IMDM Sheffield.pdf,16
BAR,8648,8648,IMDM Sheffield.pdf,235
BBM,1216,3990,IMDM Bedford.pdf,926
BBW,0,2989,IMDM Leeds.pdf,202
BBW,2780,2940,IMDM Leeds.pdf,220
BCJ,9964,10139,IMDM Derby.pdf,210
BEW,12462,12568,IMDM Sheffield.pdf,832
BEW,3736,3909,IMDM Sheffield.pdf,839
BGE,7605,7770,IMDM Newcastle.pdf,626
BGL,9752,9803,Western Route 2025.pdf,507
BGL1,7437,9063,Western Route 2025.pdf,362
BGL2,9506,9580,Western Route 2025.pdf,353
BGL2,9166,9295,Western Route 2025.pdf,354
BGL2,9025,9114,Western Route 2025.pdf,355
BGL2,8799,8799,Western Route 2025.pdf,356
BGL2,8414,8583,Western Route 2025.pdf,357
BGL2,8273,8399,Western Route 2025.pdf,358
BGL2,8073,8073,Western Route 2025.pdf,359
BGL2,7818,7818,Western Route 2025.pdf,360
BGL2,7706,7783,Western Route 2025.pdf,361
BHL,6478,6527,Thames Valley Track Diagrams.pdf,126
BHL,6262,6314,Thames Valley Track Diagrams.pdf,127
BHL,6113,6140,Thames Valley Track Diagrams.pdf,128
BHL,5920,6000,Thames Valley Track Diagrams.pdf,129
BHL,5800,5800,Thames Valley Track Diagrams.pdf,130
BHL,5426,5426,Thames Valley Track Diagrams.pdf,131
BHL,5209,5318,Thames Valley Track Diagrams.pdf,132
BHL,4983,5209,Thames Valley Track Diagrams.pdf,133
BHL,4928,4928,Thames Valley Track Diagrams.pdf,134
BHL,4734,4817,Thames Valley Track Diagrams.pdf,135
