signal_ref,elr,mileage_ch,diagram_doc,diagram_page
00,,0.0,Kent Track Diagrams January 2026_001.pdf,8
00,,,LNW - West  Mids & Chilterns Maps (Version 13).pdf,5
00,,3759.0,LNW - West  Mids & Chilterns Maps (Version 13).pdf,6
00,,4991.0,LNW - West  Mids & Chilterns Maps (Version 13).pdf,7
00,,10147.0,LNW - West  Mids & Chilterns Maps (Version 13).pdf,12
00,,,LNW - West  Mids & Chilterns Maps (Version 13).pdf,17
00,,1320.0,LNW - West  Mids & Chilterns Maps (Version 13).pdf,21
00,,948.0,LNW - West  Mids & Chilterns Maps (Version 13).pdf,23
00,,0.0,Sussex Track Diagrams January 2026 001.pdf,8
00,,751.0,Sussex Track Diagrams January 2026 001.pdf,15
00,MLN1,,Thames Valley Track Diagrams.pdf,11
00,MLN1,,Thames Valley Track Diagrams.pdf,22
00,MLN1,,Thames Valley Track Diagrams.pdf,44
00,MLN1,,Thames Valley Track Diagrams.pdf,45
00,MLN1,629.0,Thames Valley Track Diagrams.pdf,51
00,MLN1,,Thames Valley Track Diagrams.pdf,56
00,WEL,,Thames Valley Track Diagrams.pdf,65
00,HLL,,Thames Valley Track Diagrams.pdf,68
00,STA,,Thames Valley Track Diagrams.pdf,71
00,RDG,,Thames Valley Track Diagrams.pdf,82
00,BHL,3060.0,Thames Valley Track Diagrams.pdf,152
00,CNH3,19319.0,WALES Feb 26.pdf,290
00,,,Wessex Track Diagrams V34 Planning Notes.pdf,51
00,,,Wessex Track Diagrams V34 Planning Notes.pdf,89
00,MLN4,25673.0,Western Route 2025.pdf,21
00,MLN3,22533.0,Western Route 2025.pdf,40
00,MLN1,,Western Route 2025.pdf,113
00,MLN1,,Western Route 2025.pdf,120
00,MLN1,,Western Route 2025.pdf,122
00,MLN1,6174.0,Western Route 2025.pdf,130
00,MLN1,4267.0,Western Route 2025.pdf,142
00,MLN1,18.0,Western Route 2025.pdf,148
00,MLN1,993.0,Western Route 2025.pdf,170
00,ANL,,Western Route 2025.pdf,189
00,ANL,,Western Route 2025.pdf,190
00,DCL,,Western Route 2025.pdf,255
00,OXD,,Western Route 2025.pdf,269
00,OWW,7326.0,Western Route 2025.pdf,279
00,SWB,,Western Route 2025.pdf,298
00,SWB,8901.0,Western Route 2025.pdf,301
00,WEY,9233.0,Western Route 2025.pdf,323
00,SWY,,Western Route 2025.pdf,326
00,BSW,,Western Route 2025.pdf,341
00,BAG2,6387.0,Western Route 2025.pdf,368
00,WAH,,Western Route 2025.pdf,392
00,SWM2,,Western Route 2025.pdf,408
00,WSM,10886.0,Western Route 2025.pdf,417
00,NDN,16073.0,Western Route 2025.pdf,429
00,BAE2,,Western Route 2025.pdf,449
00,BRL,,Western Route 2025.pdf,510
00,,,Western Route 2025.pdf,520
000,,,511821_SC175_Inverkeithing_Sth_Jn_-_Rosyth_Dockyard_Apr08_Ver_1.1T___092__.pdf,5
0001,,,Wessex Track Diagrams V34 Planning Notes.pdf,99
0002,,,Wessex Track Diagrams V34 Planning Notes.pdf,99
0003,,,Kent Track Diagrams January 2026_001.pdf,44
0003,,,Wessex Track Diagrams V34 Planning Notes.pdf,101
0009,,,Wessex Track Diagrams V34 Planning Notes.pdf,99
001,MVL3,1045.0,MVL3 Line Diagrams - New (1).pdf,2
001,LEC5,12648.0,NW1009 (inc. NW1015 & NW1017) - Basford Hall Jn to Sandback South Jn - V2.5.pdf,6
001,OXD,,Western Route 2025.pdf,269
0014,,,Kent Track Diagrams January 2026_001.pdf,45
0019,,3324.0,Kent Track Diagrams January 2026_001.pdf,17
002A,MLN1,,Western Route 2025.pdf,182
0035,,,Wessex Track Diagrams V34 Planning Notes.pdf,99
0047,,,Kent Track Diagrams January 2026_001.pdf,45
005,,,Manchester Binder--01.10.25.pdf,30
005,,,NW1005 - Kidsgrove to Crewe South Jn - V1.4.pdf,1
005,,,NW6001--NW9001--Binder--01.10.25.pdf,9
005,,,SC003 - 005 Carstairs - Haymarket East Jn (via Midcalder) V2.pdf,5
005,,,SC003 - 005 Carstairs - Haymarket East Jn (via Midcalder) V2.pdf,6
005,,,SC003 - 005 Carstairs - Haymarket East Jn (via Midcalder) V2.pdf,7
005,,,SC003 - 005 Carstairs - Haymarket East Jn (via Midcalder) V2.pdf,8
005,,,SC003 - 005 Carstairs - Haymarket East Jn (via Midcalder) V2.pdf,9
005,,,SC003 - 005 Carstairs - Haymarket East Jn (via Midcalder) V2.pdf,10
005,,,SC003 - 005 Carstairs - Haymarket East Jn (via Midcalder) V2.pdf,11
005,,,SC003 - 005 Carstairs - Haymarket East Jn (via Midcalder) V2.pdf,12
005,,,SC003 - 005 Carstairs - Haymarket East Jn (via Midcalder) V2.pdf,13
005,,,SC003 - 005 Carstairs - Haymarket East Jn (via Midcalder) V2.pdf,14
005,,,SC003 - 005 Carstairs - Haymarket East Jn (via Midcalder) V2.pdf,15
005,,,SC003 - 005 Carstairs - Haymarket East Jn (via Midcalder) V2.pdf,16
005,,,SC003 - 005 Carstairs - Haymarket East Jn (via Midcalder) V2.pdf,17
005,,,SC003 - 005 Carstairs - Haymarket East Jn (via Midcalder) V2.pdf,18
005,MLN1,,Western Route 2025.pdf,138
005,SWB,,Western Route 2025.pdf,298
005R,MLN1,,Western Route 2025.pdf,138
006,XRC,,Thames Valley Track Diagrams.pdf,153
006,,,Wessex Track Diagrams V34 Planning Notes.pdf,69
0060,,,Kent Track Diagrams January 2026_001.pdf,32
0060,,5860.0,Kent Track Diagrams January 2026_001.pdf,78
0066,,,Wessex Track Diagrams V34 Planning Notes.pdf,103
007,,899.0,Kent Track Diagrams January 2026_001.pdf,34
0070,,695.0,Kent Track Diagrams January 2026_001.pdf,69
0074,,4860.0,Sussex Track Diagrams January 2026 001.pdf,79
0096,,,Kent Track Diagrams January 2026_001.pdf,45
0098,,3324.0,Kent Track Diagrams January 2026_001.pdf,17
01,,1370.0,Kent Track Diagrams January 2026_001.pdf,73
01,,6524.0,LNW - West  Mids & Chilterns Maps (Version 13).pdf,8
01,,2448.0,LNW - West  Mids & Chilterns Maps (Version 13).pdf,13
01,,,LNW - West  Mids & Chilterns Maps (Version 13).pdf,17
01,,,LNW - West  Mids & Chilterns Maps (Version 13).pdf,18
01,,4860.0,Sussex Track Diagrams January 2026 001.pdf,79
01,MLN1,4956.0,Thames Valley Track Diagrams.pdf,12
01,MLN1,,Thames Valley Track Diagrams.pdf,15
01,MLN1,,Thames Valley Track Diagrams.pdf,44
01,MLN1,629.0,Thames Valley Track Diagrams.pdf,51
01,MLN1,,Thames Valley Track Diagrams.pdf,56
01,ANL,822.0,Thames Valley Track Diagrams.pdf,60
01,ANL,,Thames Valley Track Diagrams.pdf,61
01,WEL,,Thames Valley Track Diagrams.pdf,65
01,RDG,5400.0,Thames Valley Track Diagrams.pdf,82
01,DCL,,Thames Valley Track Diagrams.pdf,90
01,THA,,Thames Valley Track Diagrams.pdf,99
01,OXD,,Thames Valley Track Diagrams.pdf,100
01,OWW,,Thames Valley Track Diagrams.pdf,110
01,BHL,,Thames Valley Track Diagrams.pdf,129
01,BKE,,Thames Valley Track Diagrams.pdf,149
01,MLN4,,Western Route 2025.pdf,18
01,MLN4,,Western Route 2025.pdf,21
01,MLN3,,Western Route 2025.pdf,48
01,MLN1,,Western Route 2025.pdf,71
01,MLN1,,Western Route 2025.pdf,78
01,MLN1,11619.0,Western Route 2025.pdf,99
01,MLN1,,Western Route 2025.pdf,120
01,MLN1,,Western Route 2025.pdf,122
01,MLN1,,Western Route 2025.pdf,130
01,MLN1,,Western Route 2025.pdf,131
01,MLN1,,Western Route 2025.pdf,170
01,ANL,822.0,Western Route 2025.pdf,190
01,ANL,,Western Route 2025.pdf,193
01,HLL,,Western Route 2025.pdf,199
01,SWY,,Western Route 2025.pdf,213
01,OWW,,Western Route 2025.pdf,272
01,SWM1,8221.0,Western Route 2025.pdf,287
01,SWB,,Western Route 2025.pdf,299
01,SWB,8901.0,Western Route 2025.pdf,301
01,WEY,,Western Route 2025.pdf,320
